mean	lo	hi	n	N	block	share	count	losses	ci
1006.2	924.537	1088.89	1716	10	forgone				
1717.99	1608.17	1828.82	1716	15	forgone				
2444.38	2309.79	2578.88	1716	20	forgone				
3227.96	3053.51	3374.45	1716	25	forgone				
-600.591	-686.589	-518.633	1716	10	weakProfile				
-779.423	-883.315	-677.16	1716	15	weakProfile				
-842.466	-978.233	-708.631	1716	20	weakProfile				
-927.108	-1089.44	-779.957	1716	25	weakProfile				
-2.47232	-85.9368	62.1534	1716	10	selfPlacebo				
-4.83246	-114.172	93.975	1716	15	selfPlacebo				
-7.05274	-134.353	125.814	1716	20	selfPlacebo				
-8.14977	-160.387	149.386	1716	25	selfPlacebo				
				10	lossesFlipped	0.113032	85	752	[np.float64(0.08799891745602165), np.float64(0.13311730171520658)]
				15	lossesFlipped	0.163564	123	752	[np.float64(0.1388118738606796), np.float64(0.18859608545683038)]
				20	lossesFlipped	0.219415	165	752	[np.float64(0.1885002518794079), np.float64(0.2472877294079091)]
				25	lossesFlipped	0.277926	209	752	[np.float64(0.2458303970727741), np.float64(0.312214898912933)]
