pos	mean	lo	hi	n	clusters	block	decile
0	1	1	1	7125	7125	pos_player	
1	0.19186	0.181826	0.201	7125	7125	pos_player	
2	0.249684	0.239124	0.258815	7125	7125	pos_player	
3	0.25	0.23942	0.25926	7124	7124	pos_player	
4	0.210977	0.201785	0.221213	7124	7124	pos_player	
5	0.217855	0.208694	0.227218	7124	7124	pos_player	
6	0.219961	0.210253	0.230166	7124	7124	pos_player	
7	0.213363	0.204699	0.222046	7124	7124	pos_player	
8	0.217013	0.207043	0.225683	7124	7124	pos_player	
9	0.221505	0.210878	0.230257	7124	7124	pos_player	
10	0.233296	0.222691	0.24215	7124	7124	pos_player	
11	0.226418	0.216584	0.235807	7124	7124	pos_player	
12	0.235542	0.226943	0.245558	7124	7124	pos_player	
13	0.243403	0.233878	0.253958	7124	7124	pos_player	
14	0.2274	0.217732	0.236807	7124	7124	pos_player	
15	0.231892	0.222811	0.241186	7124	7124	pos_player	
16	0.249158	0.239899	0.260373	7124	7124	pos_player	
17	0.240455	0.230245	0.249609	7124	7124	pos_player	
18	0.230067	0.220248	0.239972	7124	7124	pos_player	
19	0.249052	0.239587	0.259224	7123	7123	pos_player	
20	0.243718	0.233087	0.252828	7123	7123	pos_player	
21	0.25551	0.245551	0.265483	7123	7123	pos_player	
22	0.242348	0.23215	0.252981	7122	7122	pos_player	
23	0.261303	0.250473	0.271157	7122	7122	pos_player	
24	0.254283	0.244275	0.265712	7122	7122	pos_player	
25	0.254283	0.2455	0.264082	7122	7122	pos_player	
26	0.255967	0.246608	0.266816	7122	7122	pos_player	
27	0.263269	0.252312	0.272842	7122	7122	pos_player	
28	0.259056	0.24919	0.268699	7122	7122	pos_player	
29	0.267481	0.257764	0.277921	7122	7122	pos_player	
30	0.263867	0.253284	0.274836	7121	7121	pos_player	
31	0.260253	0.250932	0.269736	7120	7120	pos_player	
32	0.26559	0.254885	0.276627	7120	7120	pos_player	
33	0.267978	0.258323	0.27857	7120	7120	pos_player	
34	0.260955	0.250987	0.271373	7120	7120	pos_player	
35	0.274579	0.264803	0.283637	7120	7120	pos_player	
36	0.270403	0.261337	0.279693	7119	7119	pos_player	
37	0.283968	0.274441	0.293696	7117	7117	pos_player	
38	0.281439	0.2715	0.292617	7117	7117	pos_player	
39	0.27891	0.268662	0.288101	7117	7117	pos_player	
40	0.27905	0.269211	0.288636	7117	7117	pos_player	
41	0.281597	0.273141	0.291378	7113	7113	pos_player	
42	0.285955	0.275434	0.296621	7113	7113	pos_player	
43	0.284168	0.274691	0.296337	7112	7112	pos_player	
44	0.286598	0.276091	0.295935	7111	7111	pos_player	
45	0.290114	0.281309	0.301483	7111	7111	pos_player	
46	0.290536	0.279843	0.301309	7111	7111	pos_player	
47	0.290395	0.279319	0.300378	7111	7111	pos_player	
48	0.294333	0.282922	0.304532	7111	7111	pos_player	
49	0.304122	0.29344	0.315624	7109	7109	pos_player	
50	0.303167	0.291457	0.313576	7105	7105	pos_player	
51	0.306869	0.296681	0.317051	7104	7104	pos_player	
52	0.298789	0.288487	0.308679	7102	7102	pos_player	
53	0.307833	0.298043	0.318725	7098	7098	pos_player	
54	0.308484	0.297476	0.318852	7096	7096	pos_player	
55	0.311055	0.300348	0.321909	7092	7092	pos_player	
56	0.309635	0.298553	0.320678	7089	7089	pos_player	
57	0.326274	0.314822	0.336953	7083	7083	pos_player	
58	0.314144	0.302854	0.324391	7070	7070	pos_player	
59	0.318929	0.30827	0.329071	7058	7058	pos_player	
60	0.326806	0.315467	0.337821	7047	7047	pos_player	
61	0.318537	0.308945	0.33086	7029	7029	pos_player	
62	0.316142	0.305007	0.326589	7019	7019	pos_player	
63	0.323105	0.3118	0.334969	7007	7007	pos_player	
64	0.322507	0.31155	0.333633	6989	6989	pos_player	
65	0.327789	0.317631	0.340431	6974	6974	pos_player	
66	0.323707	0.312527	0.333722	6960	6960	pos_player	
67	0.327231	0.31459	0.337387	6937	6937	pos_player	
68	0.33478	0.324544	0.344466	6912	6912	pos_player	
69	0.334834	0.324575	0.345707	6887	6887	pos_player	
70	0.316835	0.305489	0.327309	6849	6849	pos_player	
71	0.336862	0.326432	0.347393	6801	6801	pos_player	
72	0.336045	0.32541	0.347226	6761	6761	pos_player	
73	0.343769	0.33323	0.355207	6708	6708	pos_player	
74	0.341864	0.33059	0.352524	6643	6643	pos_player	
75	0.336467	0.325541	0.348125	6595	6595	pos_player	
76	0.343851	0.331763	0.357544	6529	6529	pos_player	
