group	from	to	p
player	3	3	0.170662
player	3	4	0.384251
player	3	5	0.301859
player	3	6	0.113454
player	3	7+	0.0297747
player	4	3	0.55694
player	4	4	0.17047
player	4	5	0.17791
player	4	6	0.075351
player	4	7+	0.0193291
player	5	3	0.119728
player	5	4	0.640532
player	5	5	0.12601
player	5	6	0.087193
player	5	7+	0.0265359
player	6	3	0.111515
player	6	4	0.221487
player	6	5	0.528253
player	6	6	0.0840253
player	6	7+	0.0547195
player	7+	3	0.0778317
player	7+	4	0.161798
player	7+	5	0.17068
player	7+	6	0.431462
player	7+	7+	0.158227
strong	3	3	0.175287
strong	3	4	0.394689
strong	3	5	0.247712
strong	3	6	0.127395
strong	3	7+	0.054917
strong	4	3	0.341731
strong	4	4	0.199068
strong	4	5	0.302666
strong	4	6	0.118455
strong	4	7+	0.0380797
strong	5	3	0.107276
strong	5	4	0.419098
strong	5	5	0.211658
strong	5	6	0.205557
strong	5	7+	0.0564097
strong	6	3	0.0918367
strong	6	4	0.171251
strong	6	5	0.437833
strong	6	6	0.166426
strong	6	7+	0.132653
strong	7+	3	0.0854605
strong	7+	4	0.120621
strong	7+	5	0.14502
strong	7+	6	0.412162
strong	7+	7+	0.236737
peer	3	3	0.201362
peer	3	4	0.442915
peer	3	5	0.244101
peer	3	6	0.0851444
peer	3	7+	0.0264778
peer	4	3	0.510236
peer	4	4	0.195171
peer	4	5	0.204416
peer	4	6	0.0702917
peer	4	7+	0.0198851
peer	5	3	0.171219
peer	5	4	0.551052
peer	5	5	0.148981
peer	5	6	0.102656
peer	5	7+	0.0260916
peer	6	3	0.14829
peer	6	4	0.226044
peer	6	5	0.429616
peer	6	6	0.118098
peer	6	7+	0.0779521
peer	7+	3	0.113333
peer	7+	4	0.17678
peer	7+	5	0.150417
peer	7+	6	0.383561
peer	7+	7+	0.175909
