pos	mean	lo	hi	n	clusters	block
0	0.264131	0.262749	0.265615	5555	5555	4x4_player
1	0.31016	0.308643	0.311646	5555	5555	4x4_player
2	0.362039	0.36028	0.363803	5555	5555	4x4_player
3	0.400275	0.398248	0.402152	5554	5554	4x4_player
4	0.427125	0.424924	0.428981	5554	5554	4x4_player
5	0.451443	0.449281	0.453492	5554	5554	4x4_player
6	0.473431	0.47089	0.475712	5554	5554	4x4_player
7	0.49273	0.490365	0.495138	5554	5554	4x4_player
8	0.510724	0.508285	0.512995	5554	5554	4x4_player
9	0.528583	0.526155	0.530949	5554	5554	4x4_player
10	0.545125	0.542621	0.547496	5554	5554	4x4_player
11	0.55963	0.557171	0.562038	5554	5554	4x4_player
12	0.574192	0.571751	0.576815	5554	5554	4x4_player
13	0.588427	0.585856	0.591147	5554	5554	4x4_player
14	0.601864	0.599143	0.604567	5554	5554	4x4_player
15	0.615356	0.612728	0.618277	5554	5554	4x4_player
16	0.627262	0.624797	0.630245	5554	5554	4x4_player
17	0.639201	0.636459	0.642223	5554	5554	4x4_player
18	0.649656	0.647021	0.652638	5554	5554	4x4_player
19	0.660882	0.658214	0.663993	5553	5553	4x4_player
20	0.671214	0.668559	0.67431	5553	5553	4x4_player
21	0.681445	0.678631	0.684254	5553	5553	4x4_player
22	0.69117	0.688319	0.694288	5552	5552	4x4_player
23	0.700727	0.697846	0.703698	5552	5552	4x4_player
24	0.71051	0.707542	0.71342	5552	5552	4x4_player
25	0.719831	0.716836	0.722917	5552	5552	4x4_player
26	0.728758	0.725711	0.731644	5552	5552	4x4_player
27	0.737246	0.734252	0.740227	5552	5552	4x4_player
28	0.745328	0.742276	0.74836	5552	5552	4x4_player
29	0.753231	0.750147	0.756322	5552	5552	4x4_player
30	0.761259	0.758244	0.764223	5551	5551	4x4_player
31	0.76875	0.76572	0.771739	5550	5550	4x4_player
32	0.776329	0.773342	0.779352	5550	5550	4x4_player
33	0.78357	0.780634	0.786604	5550	5550	4x4_player
34	0.789989	0.787137	0.793148	5550	5550	4x4_player
35	0.797162	0.794441	0.800049	5550	5550	4x4_player
36	0.803658	0.800939	0.806688	5549	5549	4x4_player
37	0.810044	0.807448	0.813058	5547	5547	4x4_player
38	0.816218	0.813546	0.819177	5547	5547	4x4_player
39	0.822179	0.819475	0.825256	5547	5547	4x4_player
40	0.827542	0.824808	0.830471	5547	5547	4x4_player
41	0.833461	0.830864	0.836288	5543	5543	4x4_player
42	0.839133	0.836511	0.842007	5543	5543	4x4_player
43	0.843784	0.841118	0.846651	5542	5542	4x4_player
44	0.848888	0.846114	0.851749	5541	5541	4x4_player
45	0.853715	0.85105	0.856597	5541	5541	4x4_player
46	0.857855	0.855281	0.860689	5541	5541	4x4_player
47	0.862029	0.859423	0.864907	5541	5541	4x4_player
48	0.866258	0.863566	0.869055	5541	5541	4x4_player
49	0.870633	0.868025	0.873295	5539	5539	4x4_player
50	0.874661	0.871941	0.877343	5535	5535	4x4_player
51	0.878332	0.87582	0.881001	5534	5534	4x4_player
52	0.882298	0.879818	0.884953	5532	5532	4x4_player
53	0.885933	0.883461	0.888374	5528	5528	4x4_player
54	0.889194	0.886719	0.891592	5526	5526	4x4_player
55	0.892645	0.890112	0.895003	5522	5522	4x4_player
56	0.895837	0.893458	0.898081	5519	5519	4x4_player
57	0.898739	0.896305	0.900976	5513	5513	4x4_player
58	0.901763	0.899382	0.903991	5502	5502	4x4_player
59	0.904822	0.902618	0.906969	5491	5491	4x4_player
0	0.247022	0.24544	0.248444	5540	5540	4x4_opponent
1	0.314903	0.3133	0.316558	5540	5540	4x4_opponent
2	0.37254	0.370722	0.374427	5539	5539	4x4_opponent
3	0.415177	0.413056	0.41718	5538	5538	4x4_opponent
4	0.449508	0.447532	0.451579	5538	5538	4x4_opponent
5	0.479099	0.476978	0.481315	5538	5538	4x4_opponent
6	0.504785	0.502545	0.506959	5538	5538	4x4_opponent
7	0.527368	0.524695	0.529772	5538	5538	4x4_opponent
8	0.548117	0.545512	0.550576	5536	5536	4x4_opponent
9	0.566993	0.564296	0.569594	5536	5536	4x4_opponent
10	0.585294	0.582439	0.587846	5536	5536	4x4_opponent
11	0.600971	0.597945	0.603681	5535	5535	4x4_opponent
12	0.616507	0.613518	0.619119	5534	5534	4x4_opponent
13	0.631562	0.628636	0.634366	5534	5534	4x4_opponent
14	0.645005	0.642025	0.647975	5533	5533	4x4_opponent
