grid	cell	row	col	playerUse	opponentUse	availability	playerOverAvailability
4x4	0	0	0	0.0266405	0.0271419	0.0281878	0.945109
4x4	1	0	1	0.0583127	0.0582257	0.0564065	1.03379
4x4	2	0	2	0.0589111	0.0583658	0.0565927	1.04097
4x4	3	0	3	0.0275123	0.0269795	0.0280879	0.979505
4x4	4	1	0	0.0558478	0.0566337	0.0563876	0.990426
4x4	5	1	1	0.117232	0.116191	0.109773	1.06795
4x4	6	1	2	0.116266	0.115563	0.1092	1.06471
4x4	7	1	3	0.0554041	0.0559535	0.0561437	0.986828
4x4	8	2	0	0.0541297	0.0544248	0.0562191	0.962834
4x4	9	2	1	0.112422	0.112114	0.109228	1.02924
4x4	10	2	2	0.111352	0.110889	0.10908	1.02082
4x4	11	2	3	0.0529223	0.0536165	0.0561019	0.943324
4x4	12	3	0	0.0251113	0.0250963	0.0282037	0.890356
4x4	13	3	1	0.0520279	0.0523517	0.0561191	0.927098
4x4	14	3	2	0.0524404	0.0525618	0.0565612	0.927145
4x4	15	3	3	0.0234679	0.0238913	0.0277068	0.847006
5x5	0	0	0	0.0102962	0.0101923	0.011907	0.864724
5x5	1	0	1	0.0261584	0.0257165	0.0265623	0.984795
5x5	2	0	2	0.0324905	0.0316402	0.0319767	1.01607
5x5	3	0	3	0.0257498	0.0247644	0.0259208	0.993403
5x5	4	0	4	0.0115703	0.0106113	0.0123449	0.937252
5x5	5	1	0	0.0248106	0.025023	0.0261099	0.950237
5x5	6	1	1	0.0619448	0.0629852	0.0597103	1.03742
5x5	7	1	2	0.0775942	0.0781396	0.0731351	1.06097
5x5	8	1	3	0.0613163	0.0612301	0.0593372	1.03335
5x5	9	1	4	0.0258363	0.0247406	0.0262645	0.983697
5x5	10	2	0	0.0321344	0.0313482	0.0323455	0.993475
5x5	11	2	1	0.0776296	0.0785236	0.0733326	1.0586
5x5	12	2	2	0.0962273	0.0983354	0.0898202	1.07133
5x5	13	2	3	0.0744586	0.075269	0.0719057	1.0355
5x5	14	2	4	0.0306815	0.0310752	0.0319081	0.96156
5x5	15	3	0	0.0250674	0.0241534	0.0263406	0.951663
5x5	16	3	1	0.0588164	0.0587578	0.058554	1.00448
5x5	17	3	2	0.0725234	0.0735552	0.0718039	1.01002
5x5	18	3	3	0.0559291	0.0569552	0.0579112	0.965774
5x5	19	3	4	0.0232995	0.0232553	0.0256151	0.909603
5x5	20	4	0	0.00996849	0.00956711	0.0117525	0.848202
5x5	21	4	1	0.0236698	0.0230886	0.0255415	0.92672
5x5	22	4	2	0.0294217	0.0293615	0.0317865	0.925602
5x5	23	4	3	0.0227944	0.0224729	0.0258705	0.881097
5x5	24	4	4	0.00961095	0.00923863	0.0122435	0.784982
