q	mean	lo	hi	n	clusters	block
0	0.0560644	0.0537242	0.0584752	67476	6800	player
1	0.075106	0.0728935	0.0775361	67478	6876	player
2	0.0922033	0.0891935	0.0951306	67503	6935	player
3	0.109834	0.107025	0.113047	67447	6957	player
4	0.132964	0.129507	0.136335	67477	6971	player
5	0.151601	0.148093	0.155685	67473	6914	player
6	0.169682	0.165866	0.173696	67479	6710	player
7	0.19155	0.186769	0.196606	67476	6142	player
8	0.188466	0.182641	0.194357	67471	4631	player
9	0.195595	0.191192	0.200497	67476	2094	player
0	0.0839854	0.0810919	0.086829	67476	6800	opponent
1	0.102626	0.0995478	0.105731	67478	6876	opponent
2	0.121121	0.118174	0.124802	67503	6935	opponent
3	0.133631	0.129809	0.137283	67447	6957	opponent
4	0.152971	0.14922	0.1567	67477	6971	opponent
5	0.168616	0.164677	0.172562	67473	6914	opponent
6	0.181923	0.177569	0.186264	67479	6710	opponent
7	0.194528	0.190085	0.199284	67476	6142	opponent
8	0.183145	0.178574	0.188616	67471	4631	opponent
9	0.188289	0.182013	0.194245	67476	2094	opponent
