b	mean	lo	hi	n	clusters	block
0	1.89639	1.88083	1.91168	13274	4923	travel_player
5	1.87511	1.86024	1.88911	17184	5467	travel_player
10	1.86998	1.8511	1.88575	17642	5559	travel_player
15	1.88515	1.86998	1.89955	18245	5605	travel_player
20	1.88833	1.87374	1.90386	18450	5742	travel_player
25	1.90145	1.8869	1.91976	18454	5751	travel_player
30	1.91603	1.90047	1.93256	18579	5736	travel_player
35	1.914	1.89862	1.92858	18914	5813	travel_player
40	1.91503	1.89992	1.92941	18910	5868	travel_player
45	1.92414	1.90924	1.93996	18931	5875	travel_player
50	1.93057	1.91503	1.94568	19171	5922	travel_player
55	1.91855	1.90222	1.93411	19261	5977	travel_player
0	1.91265	1.89571	1.93045	13216	5019	travel_opponent
5	1.98135	1.9663	1.99709	17029	5453	travel_opponent
10	2.01254	1.99639	2.02697	17310	5524	travel_opponent
15	2.02306	2.00982	2.03962	17546	5576	travel_opponent
20	2.0433	2.02852	2.05932	18209	5704	travel_opponent
25	2.04054	2.02369	2.05567	18494	5745	travel_opponent
30	2.05015	2.03527	2.06418	18457	5734	travel_opponent
35	2.0441	2.02988	2.05997	18732	5790	travel_opponent
40	2.03043	2.01457	2.04579	18745	5821	travel_opponent
45	2.05313	2.03829	2.0684	18698	5815	travel_opponent
50	2.03749	2.02179	2.05227	18349	5729	travel_opponent
55	2.0332	2.01869	2.04927	17862	5550	travel_opponent
0	0.437687	0.432634	0.44322	13274	4923	centroidDist_player
5	0.43239	0.427895	0.437038	17184	5467	centroidDist_player
10	0.435222	0.430548	0.439445	17642	5559	centroidDist_player
15	0.449535	0.444984	0.453731	18245	5605	centroidDist_player
20	0.456504	0.451574	0.461031	18450	5742	centroidDist_player
25	0.463478	0.458413	0.46775	18454	5751	centroidDist_player
30	0.473905	0.46855	0.478745	18579	5736	centroidDist_player
35	0.476946	0.472198	0.481765	18914	5813	centroidDist_player
40	0.478703	0.473535	0.483873	18910	5868	centroidDist_player
45	0.488623	0.484083	0.494328	18931	5875	centroidDist_player
50	0.491348	0.486319	0.496748	19171	5922	centroidDist_player
55	0.497175	0.492114	0.502486	19261	5977	centroidDist_player
0	0.455142	0.450086	0.460356	13216	5019	centroidDist_opponent
5	0.450763	0.445356	0.455513	17029	5453	centroidDist_opponent
10	0.460658	0.456204	0.465243	17310	5524	centroidDist_opponent
15	0.472838	0.467958	0.477952	17546	5576	centroidDist_opponent
20	0.481822	0.476222	0.487361	18209	5704	centroidDist_opponent
25	0.494886	0.48955	0.500176	18494	5745	centroidDist_opponent
30	0.497415	0.491683	0.503137	18457	5734	centroidDist_opponent
35	0.504389	0.499132	0.510153	18732	5790	centroidDist_opponent
40	0.510785	0.505042	0.516468	18745	5821	centroidDist_opponent
45	0.522128	0.516015	0.528213	18698	5815	centroidDist_opponent
50	0.524346	0.518458	0.530833	18349	5729	centroidDist_opponent
55	0.52502	0.518863	0.530735	17862	5550	centroidDist_opponent
