word	len	present	found	opp	beliefRaw	beliefWeighted
AAH	3	65	0	49.9242	0.0174255	0.0169412
AAHS	4	23	0	17.7718	0.0378815	0.0377082
AAL	3	90	1	70.3026	0.0234441	0.02598
AALS	4	46	0	35.0873	0.0204229	0.0201804
AAS	3	114	3	87.7673	0.0356487	0.043179
ABA	3	34	2	27.0984	0.0846793	0.0985784
ABAS	4	20	2	16.0392	0.126299	0.151166
ABASE	5	15	0	12.0742	0.0360337	0.0348114
ABASER	6	10	0	7.38493	0.0360236	0.0399157
ABATE	5	16	0	11.8458	0.0341137	0.0354075
ABATER	6	10	0	7.88605	0.0360236	0.0376887
ABB	3	10	2	8.27415	0.232266	0.276818
ABED	4	42	1	31.6442	0.0439865	0.0518141
ABELE	5	14	0	9.96807	0.0381827	0.0412101
ABELES	6	10	0	4.94747	0.0360236	0.0560153
ABER	4	66	6	48.1599	0.10041	0.134165
ABERS	5	27	0	19.9036	0.0215077	0.0220714
ABET	4	59	0	44.4212	0.0162023	0.016137
ABETS	5	38	0	30.0451	0.0157045	0.0149733
ABHOR	5	10	0	7.45458	0.050145	0.0527905
ABID	4	27	12	20.1635	0.421262	0.571118
ABIDE	5	18	11	13.1296	0.560498	0.78472
ABIES	5	21	0	15.6493	0.0269372	0.02755
ABLE	4	50	19	38.6894	0.371378	0.483476
ABLED	5	13	1	9.73233	0.104025	0.131184
ABLER	5	26	6	19.0537	0.230823	0.315045
ABLES	5	26	8	19.6463	0.300345	0.400837
ABLET	5	24	4	18.2277	0.173352	0.226812
ABLETS	6	17	3	10.1915	0.17904	0.295778
ABODE	5	12	2	7.76703	0.178785	0.267063
ABORD	5	16	5	11.1757	0.300529	0.432051
ABORE	5	26	3	17.1966	0.126539	0.185812
ABORT	5	21	7	15.1415	0.321455	0.449282
ABORTS	6	13	4	9.38378	0.291845	0.414
ABRI	4	40	0	30.2661	0.0232139	0.0231805
ABRIN	5	11	0	7.16004	0.0465028	0.054588
ABRIS	5	17	0	11.6244	0.032388	0.0360054
ABS	3	92	4	70.858	0.0542795	0.066881
ABUSE	5	21	4	14.058	0.195233	0.287638
ABUSER	6	14	3	10.5109	0.212168	0.287637
ABUT	4	21	1	14.7113	0.0810757	0.103804
ABUTS	5	11	0	7.52072	0.0465028	0.052403
ABY	3	25	0	19.3104	0.0416527	0.0411228
ACAI	4	28	0	20.0803	0.0319449	0.0337949
ACAIS	5	13	0	10.1486	0.0406043	0.0405709
ACATER	6	11	0	8.50544	0.0332973	0.0352573
ACATES	6	18	0	13.1583	0.0217663	0.0237484
ACCA	4	10	0	7.97025	0.0732968	0.0741776
ACE	3	232	116	180.378	0.497087	0.640396
ACED	4	72	16	55.3232	0.224216	0.291399
ACER	4	134	65	98.1254	0.478729	0.655619
ACERS	5	66	31	48.8243	0.460103	0.625513
ACES	4	125	56	95.1385	0.442334	0.583249
ACETA	5	29	0	21.3948	0.0201537	0.0206332
ACETIN	6	20	0	12.4051	0.0198066	0.0250734
ACH	3	143	45	108.795	0.314767	0.413605
ACHE	4	65	30	49.6918	0.450172	0.593021
ACHED	5	17	4	13.3571	0.234738	0.301217
ACHES	5	41	26	32.4424	0.608674	0.780146
ACHIER	6	14	0	9.25681	0.0271362	0.0326984
ACHY	4	14	0	10.6249	0.0569224	0.0587803
ACID	4	49	1	36.9822	0.0381666	0.0447487
ACIDER	6	13	0	7.77008	0.0289199	0.0381817
ACIDS	5	15	1	10.5428	0.0923156	0.122349
ACING	5	18	2	11.3271	0.127132	0.192882
ACME	4	39	0	30.5691	0.0237549	0.0229659
ACMES	5	17	0	13.1866	0.032388	0.0321727
ACNE	4	94	16	72.9008	0.173833	0.223163
ACNED	5	33	0	23.5773	0.0178998	0.0188368
ACNES	5	51	12	38.4288	0.23509	0.312439
ACORN	5	27	0	19.7297	0.0215077	0.0222523
ACORNS	6	12	0	6.87334	0.0309546	0.0424781
ACRE	4	118	31	87.2298	0.262656	0.355189
ACRED	5	34	4	24.9572	0.126204	0.169099
ACRES	5	73	18	56.3582	0.246018	0.319322
ACRID	5	19	0	13.3221	0.0294122	0.0318784
ACRO	4	88	0	65.2843	0.0110898	0.0111455
ACROS	5	36	0	26.2689	0.0165147	0.0170102
ACT	3	184	45	143.805	0.246037	0.314385
ACTA	4	33	0	23.8808	0.027617	0.0288635
ACTED	5	24	4	18.9685	0.173352	0.218598
ACTIN	5	39	3	26.5989	0.0871543	0.123615
ACTING	6	10	3	4.94215	0.281654	0.552928
ACTINS	6	15	0	8.48327	0.0255598	0.0353389
ACTION	6	11	0	6.81096	0.0332973	0.0428133
ACTON	5	27	1	19.2366	0.0551012	0.0710291
ACTOR	5	39	7	27.8511	0.182922	0.254667
ACTORS	6	15	2	9.72719	0.141748	0.21607
ACTS	4	82	27	63.6342	0.326164	0.421769
ACUTE	5	20	0	15.9252	0.0281204	0.0271135
ACUTER	6	13	0	9.35719	0.0289199	0.0323844
ACUTES	6	13	0	9.06067	0.0289199	0.0333298
ADAW	4	10	0	7.36664	0.0732968	0.0788754
ADD	3	57	6	44.3177	0.118452	0.148144
ADDER	5	26	2	17.7577	0.0917778	0.128441
ADDERS	6	12	1	8.55657	0.101311	0.138673
ADDLE	5	13	0	9.19926	0.0406043	0.0441741
ADDLES	6	10	0	5.7273	0.0360236	0.049613
ADDS	4	21	1	16.8598	0.0810757	0.0920811
ADEPT	5	16	0	12.0313	0.0341137	0.0349218
ADHERE	6	12	0	8.27368	0.0309546	0.0361294
ADIOS	5	32	0	22.031	0.0184147	0.0200751
ADIT	4	100	1	71.9823	0.0194332	0.0236255
ADITS	5	44	0	29.7011	0.0136897	0.0151385
ADMIN	5	15	0	9.76755	0.0360337	0.0419441
ADO	3	200	2	150.303	0.0156959	0.0189057
ADONIS	6	17	0	9.27372	0.0228992	0.032645
ADONISE	7	11	0	2.62494	0.024286	0.094623
ADOPT	5	11	0	8.68451	0.0465028	0.0464089
ADORE	5	54	0	39.9778	0.0112782	0.0113868
ADORER	6	10	0	6.76499	0.0360236	0.0430636
ADORES	6	38	0	24.7588	0.0109409	0.0130929
ADORN	5	30	0	22.2454	0.0195386	0.0198937
ADOS	4	77	1	58.0779	0.0249577	0.0290785
ADRATE	6	19	0	13.8463	0.0207402	0.0226549
ADRED	5	31	0	20.8884	0.01896	0.0211001
ADROIT	6	12	0	8.18817	0.0309546	0.0364622
ADRY	4	16	0	13.1897	0.0512031	0.0489615
ADS	3	208	6	156.35	0.0339914	0.0434229
ADULT	5	11	0	8.66987	0.0465028	0.0464758
ADUST	5	11	0	7.68254	0.0465028	0.0514785
AEDES	5	51	0	36.4056	0.0119074	0.0124602
AEDILE	6	14	0	7.95563	0.0271362	0.0373989
AEON	4	121	0	96.2099	0.00815988	0.00764176
AEONS	5	53	0	40.6522	0.0114804	0.0112046
AERATE	6	35	0	25.1342	0.0118229	0.0129055
AERATES	7	19	0	7.31075	0.0149163	0.0406372
AERIAL	6	23	0	12.4848	0.0174499	0.0249261
AERIE	5	67	0	49.73	0.00917667	0.00921877
AERIED	6	16	0	10.2682	0.0241564	0.0297881
AERIER	6	15	0	8.56338	0.0255598	0.0350458
AERIES	6	30	0	17.2851	0.013658	0.0184165
AERIEST	7	14	0	3.47912	0.0196559	0.0761755
AERO	4	269	0	196.374	0.00373468	0.00378643
AEROS	5	123	0	89.0013	0.00509062	0.00521801
AEROSAT	7	13	0	5.39197	0.0209898	0.0530254
AESC	4	88	0	64.6978	0.0110898	0.0112433
AETATIS	7	12	0	4.64524	0.0225179	0.060163
AETHER	6	23	0	15.1726	0.0174499	0.020808
AETHERS	7	12	0	5.04723	0.0225179	0.0560979
