word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
LATEN	5	111	0	79.8833	800	5	0.00562757	0.0058027	111	41	0.369369	5.95706e-23	8.57518e-19	32800	LATE	branch miss	field
LATENS	6	56	0	32.9295	1400	6	0.00755791	0.00994881	56	21	0.375	3.70921e-12	2.6697e-08	29400	LATE	branch miss	field
ENATES	6	50	0	33.5169	1400	6	0.00842641	0.00977997	50	14	0.28	7.35571e-08	0.000211771	19600	NATES	branch miss	field
ASTERN	6	71	0	49.6778	1400	6	0.00600944	0.00666707	71	13	0.183099	5.80824e-07	0.00119442	18200	ASTER	branch miss	field
ENATE	5	98	0	68.7777	800	5	0.00635358	0.0067198	98	20	0.204082	1.92804e-10	9.25137e-07	16000	NAT	branch miss	field
NEAREST	7	19	0	5.83901	1800	7	0.0149163	0.0495091	19	8	0.421053	3.09131e-05	0.0193476	14400	NEAR	branch miss	field
SANEST	6	36	0	21.3287	1400	6	0.0115135	0.0150956	36	10	0.277778	8.16865e-06	0.00839913	14000	SANES	branch miss	field
ASTONE	6	42	0	24.0495	1400	6	0.00995109	0.0134622	42	10	0.238095	1.09605e-05	0.00965788	14000	STONE	branch miss	field
ENTERA	6	51	0	33.7545	1400	6	0.00826806	0.00971329	51	10	0.196078	1.4652e-05	0.0105809	14000	ENTER	branch miss	field
MESTER	6	30	0	22.4431	1400	6	0.013658	0.0143809	30	10	0.333333	5.2151e-06	0.00750713	14000	ESTER	branch miss	field
ARTIS	5	124	0	88.0527	800	5	0.00505046	0.00527329	124	16	0.129032	3.63293e-08	0.00013074	12800	ARTI	branch miss	field
DARRES	6	20	0	13.9125	1400	6	0.0198066	0.0225549	20	9	0.45	6.41584e-06	0.00839601	12600	RES	branch miss	field
LAMEST	6	20	0	11.9918	1400	6	0.0198066	0.0258652	20	8	0.4	3.65616e-05	0.0219293	11200	LAMES	branch miss	field
TAMINE	6	26	0	12.1813	1400	6	0.0155944	0.0254959	26	8	0.307692	7.04333e-05	0.0298202	11200	AMINE	branch miss	field
SEARER	6	21	0	14.5783	1400	6	0.0189533	0.0215969	21	8	0.380952	4.22868e-05	0.0238749	11200	SEARE	branch miss	field
BERATE	6	23	0	15.8574	1400	6	0.0174499	0.0199675	23	8	0.347826	5.37476e-05	0.024178	11200	RATE	branch miss	field
DONATE	6	22	0	15.3606	1400	6	0.0181706	0.0205702	22	8	0.363636	4.80306e-05	0.024178	11200	DON	branch miss	field
BINERS	6	11	0	7.7816	1400	6	0.0332973	0.0381321	11	7	0.636364	1.47008e-05	0.0105809	9800	BINE	branch miss	field
RENNE	5	32	0	23.6743	800	5	0.0184147	0.0187641	32	11	0.34375	1.40029e-06	0.00251965	8800	REN	branch miss	field
SERAI	5	166	0	115.79	800	5	0.00379359	0.00402612	166	11	0.0662651	1.14056e-05	0.00965788	8800	SERA	branch miss	field
STRAE	5	162	0	119.042	800	5	0.00388568	0.00391749	162	11	0.0679012	1.12936e-05	0.00965788	8800		true gap	field
DARRE	5	34	0	23.0331	800	5	0.017413	0.0192547	34	10	0.294118	7.19282e-06	0.00839913	8000		true gap	field
SENOR	5	121	0	90.168	800	5	0.00517288	0.00515159	121	10	0.0826446	2.93123e-05	0.0191796	8000	SEN	branch miss	field
REMET	5	35	0	24.526	800	5	0.0169519	0.0181498	35	10	0.285714	7.68279e-06	0.00839913	8000	REM	branch miss	field
