word	k	n	len	missesAfterLastFind	pts	forgone
SERAI	1.0	783	5	628	800	502400
STRAE	2.0	773	5	536	800	428800
AERO	2.0	1087	4	890	400	356000
ASTARE	1.0	248	6	245	1400	343000
REAIS	1.0	510	5	404	800	323200
AEROS	2.0	512	5	403	800	322400
TARSI	1.0	443	5	401	800	320800
SERAIL	1.0	241	6	196	1400	274400
ASTIR	1.0	445	5	334	800	267200
TRANSE	1.0	229	6	184	1400	257600
OSAR	1.0	682	4	627	400	250800
EINE	1.0	772	4	612	400	244800
SAETER	1.0	219	6	172	1400	240800
IRADE	1.0	311	5	284	800	227200
ARENES	1.0	194	6	156	1400	218400
DREST	1.0	440	5	271	800	216800
EDIT	1.0	599	4	539	400	215600
NATIS	1.0	422	5	267	800	213600
SERINE	2.0	253	6	146	1400	204400
AISLE	1.0	274	5	243	800	194400
DIANE	1.0	252	5	242	800	193600
TETRI	1.0	242	5	240	800	192000
REASON	1.0	150	6	137	1400	191800
DEAREST	1.0	109	7	105	1800	189000
EINA	1.0	971	4	452	400	180800
NEIST	1.0	571	5	224	800	179200
TETRIS	1.0	123	6	121	1400	169400
ARENE	2.0	336	5	208	800	166400
SNIRT	1.0	378	5	206	800	164800
INTEL	1.0	281	5	203	800	162400
ADORE	1.0	201	5	199	800	159200
ELSIN	1.0	263	5	198	800	158400
RHEAS	1.0	208	5	197	800	157600
RESHOT	1.0	120	6	112	1400	156800
IRATEST	1.0	124	7	87	1800	156600
DESTAIN	1.0	94	7	87	1800	156600
TRONA	2.0	287	5	195	800	156000
SENNA	1.0	193	5	192	800	153600
IRATER	2.0	226	6	108	1400	151200
SENOR	1.0	498	5	188	800	150400
TRIOSE	1.0	147	6	107	1400	149800
SENIOR	1.0	174	6	107	1400	149800
ASSET	2.0	263	5	185	800	148000
AREAL	1.0	273	5	185	800	148000
RASTA	2.0	329	5	183	800	146400
SLOE	1.0	413	4	365	400	146000
ONESIE	1.0	121	6	104	1400	145600
TENIA	2.0	556	5	182	800	145600
NISSE	1.0	205	5	181	800	144800
TORAN	2.0	326	5	180	800	144000
ODEA	1.0	439	4	358	400	143200
TOISE	2.0	367	5	176	800	140800
SERINES	1.0	82	7	78	1800	140400
TERAIS	1.0	352	6	99	1400	138600
REDANS	1.0	133	6	99	1400	138600
SNEAD	1.0	265	5	173	800	138400
SLART	2.0	306	5	173	800	138400
ARSON	1.0	239	5	172	800	137600
SNATH	1.0	214	5	168	800	134400
SEAREST	1.0	92	7	74	1800	133200
MESTER	2.0	116	6	95	1400	133000
SERON	1.0	558	5	165	800	132000
RETIAL	2.0	224	6	94	1400	131600
TORANS	1.0	145	6	94	1400	131600
SESH	1.0	359	4	329	400	131600
REGNA	2.0	184	5	164	800	131200
SERAC	1.0	429	5	164	800	131200
EISH	1.0	527	4	325	400	130000
GNATS	1.0	170	5	160	800	128000
GNAT	1.0	338	4	318	400	127200
RENINS	1.0	99	6	90	1400	126000
RETEAR	2.0	158	6	90	1400	126000
INLET	1.0	191	5	157	800	125600
TEHR	1.0	449	4	311	400	124400
MATIER	1.0	118	6	88	1400	123200
RIANT	2.0	268	5	151	800	120800
PEREA	1.0	154	5	151	800	120800
