pbi	mean	lo	hi	n	clusters	block
0	0.0916338	0.0804499	0.104715	12670	1323	3
1	0.107846	0.0919539	0.125708	9801	1150	3
2	0.144839	0.126463	0.16494	6849	1052	3
3	0.182349	0.167207	0.196712	14741	982	3
4	0.384831	0.366044	0.401822	119255	851	3
0	0.068056	0.0646001	0.0714877	53838	5314	4
1	0.136194	0.128058	0.144415	22725	3583	4
2	0.180077	0.171136	0.192458	15088	3018	4
3	0.22143	0.210584	0.233664	30723	2658	4
4	0.385771	0.375546	0.395382	120473	2045	4
0	0.0535226	0.0514859	0.0555454	85945	11030	5
1	0.167311	0.159075	0.176526	20190	4313	5
2	0.243396	0.231302	0.258127	11319	3177	5
3	0.316595	0.304104	0.328384	19416	2600	5
4	0.460023	0.449297	0.470149	52830	1728	5
0	0.0511634	0.0495573	0.0527721	73881	15993	6
1	0.249347	0.236865	0.261287	9565	3258	6
2	0.33945	0.322578	0.356448	5123	2113	6
3	0.405232	0.391745	0.418558	8104	1553	6
4	0.526439	0.509236	0.541164	10685	805	6
0	0.0432323	0.0413671	0.0446047	60279	30113	7
1	0.323444	0.305694	0.341525	3101	1615	7
2	0.402006	0.373677	0.434754	1296	719	7
3	0.502817	0.473125	0.536471	1420	406	7
4	0.610951	0.572356	0.64665	694	125	7
