affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-S	58379	42149	9.7766e+06	0.721989	49232	37252	0.756662	2.75896e-38	5.79382e-36	1.58367e+06
-ED	8233	3697	4.8898e+06	0.449047	6801	4319	0.635054	6.63587e-115	4.1806e-112	1.7699e+06
S-	14566	8200	4.3482e+06	0.562955	11554	6061	0.52458	1	1	-411836
-D	10514	4822	4.0584e+06	0.458627	8788	5437	0.618685	2.04639e-109	6.44614e-107	1.26795e+06
RE-	3761	870	3.7066e+06	0.231321	3249	877	0.269929	9.70925e-05	0.00152921	187317
-ES	11686	8432	3.1114e+06	0.721547	9345	6832	0.731086	0.0616829	0.213502	107684
-T	12585	7722	3.0428e+06	0.613588	9836	5923	0.602176	0.958837	1	-76841
-ER	9800	7036	3.0002e+06	0.717959	7871	5992	0.761276	3.95288e-11	2.26392e-09	474055
A-	4787	873	2.8806e+06	0.182369	4141	738	0.178218	0.694497	0.940416	-14648.4
-E	23712	18694	2.7104e+06	0.788377	18804	14174	0.753776	1	1	-434926
T-	7829	4215	2.423e+06	0.538383	6013	3014	0.501247	0.999993	1	-204253
-A	5382	935	2.3368e+06	0.173727	4342	867	0.199678	0.000530061	0.00654782	72339.1
-R	10400	7748	1.9072e+06	0.745	8500	6650	0.782353	1.0055e-09	5.27886e-08	310709
-N	5405	2454	1.8102e+06	0.454024	4265	2036	0.477374	0.0111284	0.0662577	69288.6
-TS	4820	2923	1.7836e+06	0.606432	3651	2168	0.59381	0.879956	1	-55689.1
-ING	2014	971	1.707e+06	0.482125	1777	1007	0.566685	9.89949e-08	3.28246e-06	284596
E-	2863	426	1.692e+06	0.148795	2415	326	0.13499	0.92357	1	-26950.8
-IES	1217	164	1.645e+06	0.134758	1053	270	0.25641	9.87845e-14	8.89061e-12	233111
DE-	1524	243	1.5912e+06	0.159449	1249	256	0.204964	0.000953754	0.0105415	85723.2
-ERS	3830	2838	1.5848e+06	0.740992	3032	2356	0.777045	0.000272479	0.00373178	221681
-Y	2181	198	1.5154e+06	0.090784	1832	270	0.14738	1.3191e-08	4.88844e-07	93417.1
-O	3059	428	1.4452e+06	0.139915	2548	417	0.163658	0.00667375	0.0462029	39640.9
-IER	1031	170	1.4058e+06	0.164888	872	197	0.225917	0.00038672	0.00501764	103469
-I	3262	436	1.3966e+06	0.13366	2718	615	0.226269	3.66383e-21	3.84702e-19	148341
-AS	1758	264	1.3832e+06	0.150171	1432	270	0.188547	0.00193999	0.0186002	62231.9
C-	3724	1982	1.3336e+06	0.532223	2838	1417	0.499295	0.995911	1	-93015.4
-RS	4194	3075	1.3314e+06	0.73319	3538	2747	0.776427	5.62076e-06	0.000122106	230220
-ST	1515	416	1.2688e+06	0.274587	1214	349	0.287479	0.228095	0.483838	21212.4
-EN	1279	119	1.1902e+06	0.0930414	1069	265	0.247895	2.67361e-24	3.36874e-22	203973
-EST	808	52	1.182e+06	0.0643564	697	187	0.268293	1.84391e-27	2.90416e-25	256226
IN-	893	15	1.1718e+06	0.0167973	785	26	0.033121	0.0153468	0.0819366	19529.7
SE-	1263	173	1.1524e+06	0.136975	1009	125	0.123885	0.820791	1	-17093.5
-TED	1428	642	1.1384e+06	0.44958	1169	682	0.583405	5.7196e-12	3.60334e-10	278141
-IS	1363	111	1.1214e+06	0.081438	1106	190	0.17179	4.44009e-12	3.10806e-10	110212
-AL	1241	119	1.1094e+06	0.0958904	1041	152	0.146013	0.000113674	0.00166545	60949.6
