affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-S	58379	42149	9.7766e+06	0.72199	49232	37252	0.75666	2.759e-38	5.7938e-36	1.5837e+06
-ED	8233	3697	4.8898e+06	0.44905	6801	4319	0.63505	6.6359e-115	4.1806e-112	1.7699e+06
S-	14566	8200	4.3482e+06	0.56295	11554	6061	0.52458	1	1	-4.1184e+05
-D	10514	4822	4.0584e+06	0.45863	8788	5437	0.61868	2.0464e-109	6.4461e-107	1.2679e+06
RE-	3761	870	3.7066e+06	0.23132	3249	877	0.26993	9.7092e-05	0.0015292	1.8732e+05
-ES	11686	8432	3.1114e+06	0.72155	9345	6832	0.73109	0.061683	0.2135	1.0768e+05
-T	12585	7722	3.0428e+06	0.61359	9836	5923	0.60218	0.95884	1	-76841
-ER	9800	7036	3.0002e+06	0.71796	7871	5992	0.76128	3.9529e-11	2.2639e-09	4.7405e+05
A-	4787	873	2.8806e+06	0.18237	4141	738	0.17822	0.6945	0.94042	-14648
-E	23712	18694	2.7104e+06	0.78838	18804	14174	0.75378	1	1	-4.3493e+05
T-	7829	4215	2.423e+06	0.53838	6013	3014	0.50125	0.99999	1	-2.0425e+05
-A	5382	935	2.3368e+06	0.17373	4342	867	0.19968	0.00053006	0.0065478	72339
-R	10400	7748	1.9072e+06	0.745	8500	6650	0.78235	1.0055e-09	5.2789e-08	3.1071e+05
-N	5405	2454	1.8102e+06	0.45402	4265	2036	0.47737	0.011128	0.066258	69289
-TS	4820	2923	1.7836e+06	0.60643	3651	2168	0.59381	0.87996	1	-55689
-ING	2014	971	1.707e+06	0.48213	1777	1007	0.56669	9.8995e-08	3.2825e-06	2.846e+05
E-	2863	426	1.692e+06	0.14879	2415	326	0.13499	0.92357	1	-26951
-IES	1217	164	1.645e+06	0.13476	1053	270	0.25641	9.8785e-14	8.8906e-12	2.3311e+05
DE-	1524	243	1.5912e+06	0.15945	1249	256	0.20496	0.00095375	0.010541	85723
-ERS	3830	2838	1.5848e+06	0.74099	3032	2356	0.77704	0.00027248	0.0037318	2.2168e+05
-Y	2181	198	1.5154e+06	0.090784	1832	270	0.14738	1.3191e-08	4.8884e-07	93417
-O	3059	428	1.4452e+06	0.13992	2548	417	0.16366	0.0066737	0.046203	39641
-IER	1031	170	1.4058e+06	0.16489	872	197	0.22592	0.00038672	0.0050176	1.0347e+05
