key	len	boards	present	found	foundByOpp	cellmateMissedPts	missedPts	completion
AERST	5	2286	11207	4645	3845	4333600	5249600	0.4145
AEST	4	2917	15278	4997	3780	2925200	4112400	0.3271
AELST	5	1214	5308	2106	1742	1924800	2561600	0.3968
AERS	4	2559	10763	4122	2583	1838800	2656400	0.383
ARST	4	1798	7083	2220	2096	1348000	1945200	0.3134
EINST	5	1258	4165	994	962	1213600	2536800	0.2387
ENST	4	1820	7301	2420	1740	1186000	1952400	0.3315
AELRS	5	1052	3696	1459	1159	1183200	1789600	0.3948
EINRST	6	767	2439	910	757	1163400	2140600	0.3731
AELRST	6	677	2267	768	741	1127000	2098600	0.3388
EERST	5	1145	4128	1266	1145	1108000	2289600	0.3067
AEERST	6	648	2194	1077	849	1082200	1563800	0.4909
EIRST	5	1205	4060	1919	1558	1057600	1712800	0.4727
EORST	5	981	3497	1528	1361	1023200	1575200	0.4369
ENORS	5	858	2919	817	630	1011200	1681600	0.2799
EORS	4	1561	5860	1573	1272	990400	1714800	0.2684
AENST	5	965	3034	898	847	942400	1708800	0.296
AENS	4	1833	6729	1396	1141	940800	2133200	0.2075
AEPRS	5	655	2745	1143	977	928000	1281600	0.4164
EINRS	5	1042	3341	1027	895	926400	1851200	0.3074
AIRST	5	1061	3679	508	477	900800	2536800	0.1381
ACERS	5	580	2314	844	763	860000	1176000	0.3647
EIRS	4	1785	5953	1913	1237	844000	1616000	0.3214
AELT	4	1400	4914	1928	1735	840800	1194400	0.3923
AELR	4	1455	5492	2339	1679	828400	1261200	0.4259
ENOST	5	774	2465	802	842	802400	1330400	0.3254
ERST	4	2126	6196	1421	1184	796000	1910000	0.2293
DEORS	5	775	2775	995	896	782400	1424000	0.3586
AERT	4	1929	5986	3358	2605	772000	1051200	0.561
AESTT	5	640	2227	880	779	771200	1077600	0.3952
ADER	4	1195	4366	1638	1382	759200	1091200	0.3752
AELS	4	1309	4708	2021	1642	753600	1074800	0.4293
AINST	5	881	2742	689	663	744800	1642400	0.2513
EENRST	6	451	1343	484	402	715400	1202600	0.3604
AENRS	5	830	2484	868	732	680800	1292800	0.3494
AILR	4	1089	3994	988	825	666800	1202400	0.2474
AERSST	6	467	1240	521	490	651000	1006600	0.4202
