season	mean	lo	hi	n	clusters	block	rate
2	0.273362	0.267155	0.280344	133870	14722	cohort	
3	0.314963	0.308779	0.32325	416836	17065	cohort	
4	0.305923	0.299476	0.316015	53994	11337	cohort	
5	0.295762	0.280629	0.313884	3256	2509	cohort	
6	0.28654	0.280255	0.295069	64909	12019	cohort	
7	0.289557	0.281948	0.297196	95919	13433	cohort	
8	0.303416	0.297062	0.310804	285684	16377	cohort	
9	0.295325	0.288962	0.303222	66713	12145	cohort	
10	0.310007	0.302884	0.318726	128384	14326	cohort	
2						control	0.228894
3						control	0.263724
4						control	0.2578
5						control	0.248181
6						control	0.239953
7						control	0.243223
8						control	0.253763
9						control	0.246906
10						control	0.260063
