word	opportunities	found	missed	rate
ERS	17642	704	16938	0.0399
ING	8181	653	7528	0.07982
TES	11524	4127	7397	0.3581
RES	16816	9768	7048	0.5809
ATE	8928	2239	6689	0.2508
ATS	5813	377	5436	0.06485
INS	4404	134	4270	0.03043
TED	4800	618	4182	0.1288
EST	4470	446	4024	0.09978
ARE	11828	8230	3598	0.6958
ARS	5584	2136	3448	0.3825
ENS	3308	195	3113	0.05895
ATES	3785	821	2964	0.2169
ITS	3029	94	2935	0.03103
IRE	3926	1068	2858	0.272
ANS	3016	228	2788	0.0756
RED	4778	2011	2767	0.4209
OSE	3140	378	2762	0.1204
ORE	5343	2663	2680	0.4984
ONE	5051	2379	2672	0.471
AIN	4565	1981	2584	0.434
SER	5370	2799	2571	0.5212
ALE	3872	1497	2375	0.3866
EAR	8254	5934	2320	0.7189
ARES	4650	2337	2313	0.5026
IDE	2479	273	2206	0.1101
ANE	3179	1056	2123	0.3322
NED	2726	641	2085	0.2351
ALS	2168	98	2070	0.0452
AIL	2966	1010	1956	0.3405
SED	2136	313	1823	0.1465
ART	2843	1113	1730	0.3915
LED	2036	387	1649	0.1901
ENTS	1824	200	1624	0.1096
INGS	1663	50	1613	0.03007
ARED	1767	197	1570	0.1115
ADS	1642	77	1565	0.04689
ONS	1655	112	1543	0.06767
EAN	2714	1179	1535	0.4344
OLE	2312	792	1520	0.3426
EAT	4872	3429	1443	0.7038
EEN	1410	41	1369	0.02908
END	2501	1133	1368	0.453
GER	1802	460	1342	0.2553
IRES	1712	392	1320	0.229
ORES	2474	1163	1311	0.4701
MES	1988	701	1287	0.3526
ONES	1927	654	1273	0.3394
EARS	2593	1355	1238	0.5226
STED	1251	58	1193	0.04636
ALES	1763	604	1159	0.3426
AME	2011	886	1125	0.4406
ORT	1656	546	1110	0.3297
ANT	4069	2975	1094	0.7311
PES	1986	907	1079	0.4567
ELS	1181	103	1078	0.08721
ORS	1268	215	1053	0.1696
UTS	1067	19	1048	0.01781
OOT	1158	116	1042	0.1002
PER	2062	1027	1035	0.4981
ODE	1215	198	1017	0.163
EDS	1035	20	1015	0.01932
ASH	1787	788	999	0.441
ERE	2215	1217	998	0.5494
IDES	1069	91	978	0.08513
ASTER	1571	595	976	0.3787
EATS	1839	887	952	0.4823
AINS	1506	569	937	0.3778
HES	1734	802	932	0.4625
ILL	1106	208	898	0.1881
ANES	1254	372	882	0.2967
AND	1187	309	878	0.2603
EEL	922	47	875	0.05098
ESTS	965	92	873	0.09534
IDS	891	23	868	0.02581
OLES	1234	384	850	0.3112
ARD	1150	357	793	0.3104
ARTS	1117	325	792	0.291
