letter	observed	v3	v1
E	0.0934723	0.0973302	0.138324
S	0.0825435	0.084964	0.121368
T	0.0788118	0.081764	0.0780954
A	0.078486	0.0812313	0.0835937
R	0.0741322	0.0745076	0.0859395
I	0.0710816	0.0745819	0.0835874
O	0.0689196	0.0695744	0.055084
N	0.0664021	0.068361	0.0650342
L	0.0491056	0.0485209	0.0489622
H	0.0459957	0.046042	0.0182918
D	0.0456403	0.0465407	0.0344728
C	0.0329345	0.0332717	0.0330888
U	0.0316609	0.0297669	0.0231806
M	0.0314832	0.028073	0.0253417
G	0.0267741	0.0235051	0.0240279
P	0.0243455	0.0237239	0.0285225
Y	0.0198732	0.0181579	0.0088208
F	0.0191328	0.0170771	0.00747417
B	0.0180073	0.0157563	0.013778
W	0.0162303	0.0158555	0.00534868
K	0.00950717	0.00748127	0.00599474
V	0.00876673	0.00917258	0.00687324
X	0.00228054	0.00150361	0.0013614
Z	0.00180666	0.00140392	0.0020038
Q	0.00133278	0.00100355	0.000693356
J	0.00127355	0.000829768	0.000737287
