b	mean	lo	hi	n	pot	scoreMean	block
0	0.296662	0.284139	0.309318	87	113800	32466.7	4x4
1	0.279945	0.26918	0.290492	84	142350	39648.8	4x4
2	0.266266	0.257288	0.274896	87	159600	42487.4	4x4
3	0.265944	0.253669	0.275873	84	176250	46882.1	4x4
4	0.244056	0.236058	0.254396	85	192700	47216.5	4x4
5	0.24774	0.238741	0.256645	86	211250	52339.5	4x4
6	0.228895	0.21936	0.237845	85	229300	52695.3	4x4
7	0.226389	0.218282	0.234874	85	252000	56725.9	4x4
8	0.226317	0.218334	0.234434	86	272350	61780.2	4x4
9	0.214411	0.207141	0.221556	85	301000	64661.2	4x4
10	0.20046	0.193376	0.206285	85	336400	67612.9	4x4
11	0.171318	0.166174	0.175953	86	408100	71898.8	4x4
0	0.166575	0.158594	0.175998	58	274500	44322.4	5x5
1	0.160417	0.152596	0.168898	58	319050	51065.5	5x5
2	0.16024	0.15388	0.167424	57	350600	55963.2	5x5
3	0.152073	0.145409	0.158706	58	378400	57679.3	5x5
4	0.141819	0.135038	0.148728	57	402700	57126.3	5x5
5	0.140719	0.135202	0.146115	58	427000	60044.8	5x5
6	0.137594	0.131939	0.142975	57	451300	62028.1	5x5
7	0.136155	0.132347	0.140441	58	485100	65920.7	5x5
8	0.127504	0.121686	0.132635	57	511500	65270.2	5x5
9	0.123488	0.117658	0.128702	58	555150	68451.7	5x5
10	0.11632	0.111918	0.120625	57	609100	71601.8	5x5
11	0.0985135	0.094829	0.102047	58	717200	73577.6	5x5
