grid	casual	goodCasual	spam	block	perCandidatePerMille	logLik	winnersSeeded	simLongestMean	simLongestGe8	simLongestGe10
4x4	0.151309	0.759654	0.0890372	tiers						
5x5	0.0418638	0.958136	1.60315e-10	tiers						
4x4				seed	0	-1461.54	0	8.43775	0.896057	0.0903593
4x4				seed	250	-1400.24	0.257425	8.69561	0.923576	0.190469
4x4				seed	500	-1421.83	0.499358	8.92107	0.942834	0.283109
4x4				seed	750	-1515.18	0.748617	9.18744	0.971345	0.385543
4x4				seed	1000	-1974.63	1	9.44484	0.99867	0.485059
5x5				seed	0	-1135.84	0	9.28421	0.994743	0.363909
5x5				seed	250	-1042.12	0.252056	9.68049	0.995728	0.50486
5x5				seed	500	-1066.83	0.507248	10.0672	0.997507	0.633551
5x5				seed	750	-1151.68	0.749516	10.4297	0.997588	0.764141
5x5				seed	1000	-1594.36	1	10.8262	0.99867	0.894941
