potential_k	block
348.2	4x4
128.7	4x4
248.2	4x4
147.8	4x4
189.1	4x4
347.2	4x4
306.3	4x4
157.7	4x4
158.2	4x4
153.9	4x4
256.4	4x4
190	4x4
187.9	4x4
73.6	4x4
244.9	4x4
119.5	4x4
168.5	4x4
165.2	4x4
435.8	4x4
412.2	4x4
291.5	4x4
252.3	4x4
166.8	4x4
223.4	4x4
138.7	4x4
228.2	4x4
249.4	4x4
317.5	4x4
276.2	4x4
287.7	4x4
180.4	4x4
135.4	4x4
200.5	4x4
96.8	4x4
201.7	4x4
277	4x4
290	4x4
215.2	4x4
161.1	4x4
199	4x4
149.1	4x4
355.9	4x4
296.6	4x4
206.5	4x4
164.3	4x4
255.7	4x4
320.7	4x4
138.2	4x4
258.6	4x4
229.3	4x4
237.2	4x4
470.4	4x4
164.2	4x4
290.3	4x4
263	4x4
187.2	4x4
150	4x4
216.6	4x4
208.6	4x4
207.4	4x4
327.9	4x4
174.7	4x4
173.4	4x4
377	4x4
161.5	4x4
254.2	4x4
340.1	4x4
204.4	4x4
261.7	4x4
90.9	4x4
174.6	4x4
411.2	4x4
172.1	4x4
168.2	4x4
253.7	4x4
194.6	4x4
185.1	4x4
324.2	4x4
196.1	4x4
101.4	4x4
166.7	4x4
299.3	4x4
147.6	4x4
244.3	4x4
217.7	4x4
229.4	4x4
244.8	4x4
163	4x4
221.3	4x4
159.6	4x4
128.7	4x4
127.5	4x4
126.2	4x4
329.5	4x4
383.1	4x4
418.5	4x4
216.1	4x4
271.3	4x4
179.8	4x4
109.4	4x4
234.9	4x4
227.9	4x4
130.3	4x4
281.1	4x4
157	4x4
346	4x4
342.5	4x4
226.3	4x4
318	4x4
257.4	4x4
170.5	4x4
227.6	4x4
152.9	4x4
124.8	4x4
203.9	4x4
310.6	4x4
317.9	4x4
124.8	4x4
180.5	4x4
287.9	4x4
268.3	4x4
259	4x4
135.8	4x4
205.6	4x4
371	4x4
134.3	4x4
236.4	4x4
158.2	4x4
168.3	4x4
451.8	4x4
373.4	4x4
202.1	4x4
309.7	4x4
254.7	4x4
224	4x4
192.5	4x4
206.9	4x4
289.3	4x4
120.6	4x4
78.3	4x4
