set	length	ame	lo	hi
train	n3	0.00312091	-0.00311944	0.00808428
train	n4	0.0105266	0.00515649	0.0158663
train	n5	0.0100484	0.005317	0.0138271
train	n6	0.0149451	0.00874495	0.0209018
train	n7p	0.0217519	0.011699	0.0330522
test	n3	0.00461399	-0.00495589	0.0147831
test	n4	0.00796211	-0.0011321	0.0156771
test	n5	0.0155525	0.00795808	0.0226673
test	n6	0.00971764	-0.00266362	0.0187648
test	n7p	0.0289325	0.0132936	0.0476065
pooled	n3	0.00286161	0.000387083	0.00540789
pooled	n4	0.00865817	0.00598754	0.0108267
pooled	n5	0.0102408	0.00785653	0.0124372
pooled	n6	0.00962165	0.00741545	0.0120869
pooled	n7p	0.0227961	0.0188034	0.0260772
