word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
ASTER	246	121.757	143	5	800	986	260	349	196800	97405.8	0.263692	0.353955	71200	AERST	13	
RATES	263	121.163	122	5	800	1069	619	687	210400	96930.5	0.579046	0.642657	54400	AERST	13	RATE
ESTER	223	114.592	135	5	800	776	5	226	178400	91673.5	0.0064433	0.291237	176800	EERST	9	EST
TARES	216	96.1601	97	5	800	1072	646	593	172800	76928.1	0.602612	0.553172	-42400	AERST	13	TARE
RATED	191	91.1809	92	5	800	531	136	265	152800	72944.7	0.256121	0.499058	103200	ADERT	6	RATE
LATER	179	83.2766	88	5	800	635	246	317	143200	66621.3	0.387402	0.499213	56800	AELRT	6	LATE
ESTERS	85	44.2475	61	6	1400	248	1	85	119000	61946.5	0.00403226	0.342742	117600	EERSST	6	ESTER
NATES	162	77.1848	73	5	800	798	24	168	129600	61747.8	0.0300752	0.210526	115200	AENST	6	ATES
TEARS	173	76.5153	75	5	800	736	403	426	138400	61212.2	0.547554	0.578804	18400	AERST	13	TEAR
SANER	167	75.5049	73	5	800	564	13	175	133600	60403.9	0.0230496	0.310284	129600	AENRS	6	SANE
TRIES	155	74.5787	88	5	800	635	121	211	124000	59662.9	0.190551	0.332283	72000	EIRST	7	TRIE
TIRES	166	73.7804	74	5	800	783	442	416	132800	59024.3	0.564496	0.53129	-20800	EIRST	7	TIRE
STARE	156	73.6807	82	5	800	974	676	602	124800	58944.5	0.694045	0.61807	-59200	AERST	13	STAR
NITES	153	73.6475	90	5	800	768	372	349	122400	58918	0.484375	0.454427	-18400	EINST	8	NITE
ASTERS	88	41.8742	55	6	1400	330	93	122	123200	58623.8	0.281818	0.369697	40600	AERSST	7	ASTER
TASER	161	71.8744	73	5	800	895	465	393	128800	57499.5	0.519553	0.439106	-57600	AERST	13	TASE
TARE	323	143.329	134	4	400	1737	1036	908	129200	57331.6	0.596431	0.52274	-51200	AERT	4	TAR
ORATES	79	40.7942	46	6	1400	396	135	125	110600	57111.9	0.340909	0.315657	-14000	AEORST	4	ORATE
REST	298	139.559	140	4	400	1944	1013	778	119200	55823.4	0.521091	0.400206	-94000	ERST	4	RES
TINES	144	68.6478	82	5	800	714	443	425	115200	54918.2	0.620448	0.595238	-14400	EINST	8	TINE
ROTES	142	67.1165	63	5	800	645	361	361	113600	53693.2	0.55969	0.55969	0	EORST	7	ROTE
TEAR	318	133.856	125	4	400	1537	793	793	127200	53542.3	0.51594	0.51594	0	AERT	4	TEA
RASE	293	133.161	129	4	400	1419	533	530	117200	53264.3	0.375617	0.373502	-1200	AERS	7	RAS
ELATER	77	37.5733	47	6	1400	232	54	107	107800	52602.6	0.232759	0.461207	74200	AEELRT	2	ELATE
ORATE	129	64.3796	71	5	800	646	216	198	103200	51503.7	0.334365	0.306502	-14400	AEORT	3	RATE
