mb	mean	lo	hi	n	m	block
0	0.453481	0.44439	0.462889	598	-19200	raw
1	0.475951	0.46662	0.485455	598	-11200	raw
2	0.477316	0.467644	0.487152	607	-7000	raw
3	0.48442	0.474834	0.493227	596	-4000	raw
4	0.486088	0.477872	0.494819	581	-1600	raw
5	0.4751	0.46634	0.483676	598	500	raw
6	0.471949	0.463305	0.479395	600	2500	raw
7	0.453781	0.445152	0.461986	579	4600	raw
8	0.445076	0.436646	0.453518	602	6800	raw
9	0.426804	0.419664	0.433554	592	9600	raw
10	0.409782	0.402992	0.416213	585	13300	raw
11	0.347178	0.336999	0.357022	589	20200	raw
0	1.08314	1.06621	1.10205	598	-19200	normalised
1	1.08711	1.07083	1.10365	598	-11200	normalised
2	1.0929	1.08036	1.10758	607	-7000	normalised
3	1.10472	1.09086	1.11923	596	-4000	normalised
4	1.10879	1.09351	1.12259	581	-1600	normalised
5	1.10678	1.09282	1.11906	598	500	normalised
6	1.11725	1.10511	1.13329	600	2500	normalised
7	1.10361	1.08609	1.11767	579	4600	normalised
8	1.12956	1.11441	1.14461	602	6800	normalised
9	1.11829	1.10645	1.13403	592	9600	normalised
10	1.13958	1.12512	1.15465	585	13300	normalised
11	1.15664	1.13516	1.17787	562	20200	normalised
0	0.422727	0.414284	0.43109	598		expected
1	0.443077	0.433748	0.45323	598		expected
2	0.440742	0.430824	0.449223	607		expected
3	0.444743	0.43614	0.452984	596		expected
4	0.444222	0.435466	0.452509	581		expected
5	0.433677	0.424477	0.441416	598		expected
6	0.42609	0.41874	0.433631	600		expected
7	0.413459	0.406355	0.420527	579		expected
8	0.398777	0.392334	0.405956	602		expected
9	0.385251	0.377872	0.392162	592		expected
10	0.363616	0.35695	0.370241	585		expected
11	0.320951	0.3144	0.328342	562		expected
