oppName	games	wins	exp	var	overlap	oppOpen10	oppLongShare	z	p	q
MiningMath	733	523	476.228	161.716	0.469357	3.9071	0.664457	3.67797	0.000235094	0.00413766
Insurrection	302	227	212.18	61.8481	0.411015	4.42351	0.710731	1.8845	0.0594975	0.196069
kluo11	216	77	85.8797	48.6892	0.502139	4.34259	0.718475	-1.27258	0.203168	0.415786
ravenclaw7218	199	123	115.812	45.5128	0.473991	4.29648	0.702926	1.06547	0.286665	0.494638
derek	193	108	114.653	44.6322	0.449575	4.58497	0.765165	-0.99589	0.319303	0.530164
Brendan	192	29	51.3556	36.9395	0.484152	4.6	0.7245	-3.67825	0.000234842	0.00413766
Peter	189	146	126.134	39.9873	0.452202	4.04385	0.653	3.14152	0.00168074	0.0184882
rafeh	178	107	111.117	37.4054	0.342502	4.61798	0.739098	-0.673177	0.500835	0.688648
five_plus	176	49	54.2754	36.7411	0.234403	5.54343	0.995139	-0.870321	0.384125	0.603625
sophia	167	67	71.8116	39.4129	0.49298	4.2697	0.701549	-0.766422	0.443425	0.672783
austin	160	124	105.57	32.5264	0.42898	4.02562	0.697413	3.23147	0.00123154	0.0154822
lark	158	122	106.466	33.6954	0.451774	4.19172	0.70778	2.67602	0.00745025	0.0504325
nocturne	123	44	46.9795	27.6653	0.472829	4.49675	0.759518	-0.566474	0.571072	0.728324
gas	119	82	74.5746	25.7268	0.510769	3.89076	0.603717	1.46395	0.143208	0.350064
Lasagna	114	77	75.4961	24.1952	0.489411	4.10354	0.66632	0.30574	0.759803	0.846362
cam	114	12	32.7418	21.312	0.483453	4.4614	0.747234	-4.49298	7.0232e-06	0.000309021
marchuzz	112	62	65.2357	25.4567	0.487458	4.29107	0.710072	-0.641299	0.521328	0.695105
DavidLaid25	109	79	71.4112	23.5501	0.487016	4.06789	0.675356	1.56378	0.117869	0.305072
jaeyee	109	66	60.9624	25.4997	0.494517	4.23028	0.706447	0.997593	0.318477	0.530164
Paul	94	11	32.2083	20.3348	0.484957	4.24982	0.74089	-4.7031	2.56235e-06	0.000225487
Alenn	94	62	61.7196	20.3046	0.36016	4.55161	0.695253	0.0622265	0.950382	0.965158
EddyBoss06	90	24	32.5057	19.7773	0.453967	4.3618	0.767858	-1.9126	0.0557988	0.196069
AI7776	90	15	26.5476	18.3398	0.531682	4.3618	0.704793	-2.69645	0.00700833	0.0504325
yoj	88	75	62.6938	17.8006	0.470498	4.1046	0.687555	2.9168	0.00353646	0.0282917
arthurh	87	57	48.0613	19.4129	0.472283	4.17701	0.707127	2.02875	0.0424838	0.196069
ssg	85	21	26.6082	17.6869	0.534927	4.21548	0.716179	-1.33351	0.182364	0.412364
Polarity	84	47	48.6115	18.6985	0.41349	4.18214	0.71312	-0.372669	0.709395	0.826398
C3Slayer	79	70	53.6952	16.6401	0.412293	4.01266	0.681166	3.99701	6.41463e-05	0.00188162
dickypp	78	41	43.7707	18.081	0.522145	4.23718	0.687462	-0.651605	0.514656	0.695105
