potD	mean	lo	hi	n	block	grid	tier	eloDiffB	hourUtc	dow
0	0.550704	0.511135	0.586683	710	potD					
1	0.608451	0.568214	0.6495	710	potD					
2	0.556962	0.524206	0.588023	711	potD					
3	0.552113	0.515653	0.591181	710	potD					
4	0.577247	0.540073	0.615747	712	potD					
5	0.562942	0.52734	0.597171	707	potD					
6	0.521127	0.486038	0.557478	710	potD					
7	0.53662	0.499254	0.570647	710	potD					
8	0.560563	0.525946	0.5947	710	potD					
9	0.564789	0.526264	0.59721	710	potD					
	0.552285	0.540243	0.565832	5537	grid	4x4				
	0.583493	0.558612	0.60738	1563	grid	5x5				
	0.513514	0.358974	0.697045	37	tier		casual			
	0.556163	0.532677	0.584697	1647	tier		goodCasual			
	0.703704	0.538393	0.863785	27	tier		spam			
	0.805461	0.782906	0.824176	1465	eloDiffB			(-1000, -150]		
	0.697713	0.67589	0.718602	1793	eloDiffB			(-150, -75]		
	0.605791	0.572079	0.635749	898	eloDiffB			(-75, -25]		
	0.513652	0.47716	0.551906	586	eloDiffB			(-25, 25]		
	0.366525	0.32456	0.414706	472	eloDiffB			(25, 75]		
	0.294872	0.261835	0.332897	780	eloDiffB			(75, 150]		
	0.196563	0.171689	0.220508	931	eloDiffB			(150, 1000]		
	0.540936	0.490812	0.590553	342	hourUtc				0	
	0.580994	0.537002	0.628896	463	hourUtc				1	
	0.570561	0.536589	0.609758	659	hourUtc				2	
	0.531969	0.492367	0.566229	782	hourUtc				3	
	0.548638	0.511901	0.583031	771	hourUtc				4	
	0.564815	0.527046	0.601471	540	hourUtc				5	
	0.531017	0.481352	0.577533	403	hourUtc				6	
	0.523077	0.445196	0.610737	130	hourUtc				7	
	0.631579	0.4	0.846154	19	hourUtc				8	
	0.651163	0.512766	0.804878	43	hourUtc				9	
	0	0	0	4	hourUtc				10	
	0.75	0.4	1	8	hourUtc				11	
	0.333333	0.0907197	0.625	12	hourUtc				12	
	0.705882	0.602216	0.80013	85	hourUtc				13	
	0.634921	0.558283	0.717587	126	hourUtc				14	
	0.56	0.487146	0.626675	225	hourUtc				15	
	0.563725	0.486421	0.632043	204	hourUtc				16	
	0.635135	0.58964	0.690151	296	hourUtc				17	
	0.565909	0.522275	0.607404	440	hourUtc				18	
	0.517685	0.469256	0.572837	311	hourUtc				19	
	0.518617	0.468575	0.566689	376	hourUtc				20	
	0.544236	0.495862	0.598494	373	hourUtc				21	
	0.601562	0.547873	0.660706	256	hourUtc				22	
	0.573276	0.51082	0.63423	232	hourUtc				23	
	0.53839	0.510616	0.56714	1068	dow					0
	0.549039	0.52189	0.582582	989	dow					1
	0.548603	0.515542	0.581588	895	dow					2
	0.566794	0.541354	0.597996	1048	dow					3
	0.539816	0.513933	0.566241	1193	dow					4
	0.600266	0.568751	0.632635	753	dow					5
	0.581456	0.558206	0.611541	1154	dow					6
