gapB	mean	lo	hi	n	block
<1 min	0.00551809	-0.00503444	0.0169217	5135	open10
1-3 min	-0.0149659	-0.0433488	0.0207916	472	open10
3-20 min	-0.0130469	-0.0445901	0.0137738	587	open10
20 min-6 h	-0.00686386	-0.034364	0.0228677	688	open10
>6 h	-0.0367577	-0.0790039	0.00667968	242	open10
<1 min	147.04	-136.829	431.935	5139	score
1-3 min	330.373	-548.373	1145.77	474	score
3-20 min	-249.892	-967.318	516.384	588	score
20 min-6 h	-324.807	-952.016	376.858	688	score
>6 h	-2251.06	-3533.76	-907.87	243	score
