posB	mean	lo	hi	n	block
1-5	20.5135	-702.506	930.537	485	score
6-10	313.213	-561.14	1181.5	485	score
11-20	84.0144	-448.123	635.965	970	score
21-30	215.641	-552.468	857.881	637	score
31-40	-934.395	-2033.65	299.512	300	score
41+	-1908.04	-3008.21	-683.977	224	score
1-5	0.520619	0.479067	0.570708	485	win
6-10	0.572165	0.532911	0.616056	485	win
11-20	0.56134	0.530126	0.590631	970	win
21-30	0.562794	0.528145	0.602263	637	win
31-40	0.548333	0.487408	0.602927	300	win
41+	0.566964	0.502057	0.629269	224	win
