posB	mean	lo	hi	n	block
1	-718.344	-1179.01	-75.7164	1078	yourScore_res
2	-59.7058	-793.762	637.422	699	yourScore_res
3	904.646	156.856	1891.49	532	yourScore_res
4	766.073	-101.747	1692.85	441	yourScore_res
5	161.411	-787.685	1153.17	372	yourScore_res
6	4.40178	-931.216	968.375	339	yourScore_res
7	520.453	-628.212	1634.7	311	yourScore_res
8	141.029	-949.828	1228.6	289	yourScore_res
9	188.06	-1004.81	1300.13	251	yourScore_res
10	-181.84	-1604.05	988.593	225	yourScore_res
11	-554.095	-2059.52	893.83	202	yourScore_res
12	-67.4677	-432.56	310.358	2394	yourScore_res
1	-0.161426	-0.881326	0.655845	1077	nWords_res
2	0.396836	-0.502211	1.40654	697	nWords_res
3	1.70845	0.652634	2.61852	530	nWords_res
4	0.567423	-0.452901	1.84854	440	nWords_res
5	0.514482	-0.616422	1.76126	372	nWords_res
6	0.378203	-0.853257	1.43942	339	nWords_res
7	0.612057	-0.545869	1.87149	311	nWords_res
8	-0.403331	-1.69911	0.87516	289	nWords_res
9	-0.336519	-1.95912	1.26683	251	nWords_res
10	0.940422	-0.756346	2.47847	224	nWords_res
11	0.113147	-1.58448	1.84723	201	nWords_res
12	-0.751964	-1.21293	-0.30861	2394	nWords_res
1	-0.00576157	-0.0103958	-0.000588711	1077	longShare_res
2	-0.000883654	-0.00679868	0.00493922	697	longShare_res
3	0.00342243	-0.00385937	0.010588	530	longShare_res
4	0.00203007	-0.00678828	0.0102338	440	longShare_res
5	-0.00386403	-0.0122406	0.00646569	372	longShare_res
6	-0.00243723	-0.0112825	0.00626576	339	longShare_res
7	-0.000406211	-0.00976746	0.0104596	311	longShare_res
8	0.0035101	-0.00614038	0.0129023	289	longShare_res
9	0.0013567	-0.00912377	0.0118385	251	longShare_res
10	-0.00166539	-0.0152074	0.00977822	224	longShare_res
11	-0.00269622	-0.0142644	0.00777263	201	longShare_res
12	0.002533	-0.000549447	0.00609638	2394	longShare_res
1	0.517161	0.487393	0.547708	1078	S
2	0.562947	0.524083	0.598699	699	S
3	0.540414	0.499043	0.584253	532	S
4	0.56576	0.520168	0.611714	441	S
5	0.587366	0.538825	0.63166	372	S
6	0.606195	0.559869	0.65601	339	S
7	0.549839	0.499961	0.603824	311	S
8	0.564014	0.50986	0.619283	289	S
9	0.601594	0.541103	0.664223	251	S
10	0.591111	0.524154	0.649434	225	S
11	0.569307	0.50211	0.643941	202	S
12	0.560359	0.54015	0.577401	2394	S
