hourUtc	mean	lo	hi	n	block	dow
0	-826.585	-1928.54	367.022	344	hourUtc	
1	1549.23	720.627	2453.57	464	hourUtc	
2	317.047	-405.247	1101.43	660	hourUtc	
3	273.037	-340.35	908.865	784	hourUtc	
4	43.2195	-575.916	712.207	777	hourUtc	
5	-777.595	-1666.03	70.0501	542	hourUtc	
6	-543.72	-1438.67	371.358	405	hourUtc	
7	-1753.79	-3197.44	42.9763	131	hourUtc	
8	-37.7565	-5406.01	5173.61	19	hourUtc	
9	351.972	-2050.09	2977.98	43	hourUtc	
10	-8035.17	-19731.4	2354.87	4	hourUtc	
11	-1942.07	-8364.98	4537.13	8	hourUtc	
12	9504.78	3802.93	15819.4	12	hourUtc	
13	-997.951	-2845.96	853.719	87	hourUtc	
14	1857.8	83.8265	3613.71	127	hourUtc	
15	755.765	-445.131	1974.77	227	hourUtc	
16	-518.433	-1907.96	923.556	205	hourUtc	
17	383.141	-550.966	1342.96	299	hourUtc	
18	-650.084	-1444.68	225.015	442	hourUtc	
19	-413.228	-1554.86	657.261	312	hourUtc	
20	1061.92	300.032	2005.31	379	hourUtc	
21	132.351	-793.885	1112.9	374	hourUtc	
22	-1388.1	-2563.08	-392.245	256	hourUtc	
23	-474.498	-2020.95	1090.15	232	hourUtc	
	572.901	-3.50233	1218.45	1070	dow	0
	883.143	319.014	1493.96	993	dow	1
	1076.67	469.735	1773.08	903	dow	2
	-544.568	-1200.25	142.01	1051	dow	3
	-968.795	-1529.56	-426.839	1202	dow	4
	-832.09	-1471.66	-174.452	756	dow	5
	-83.162	-585.503	387.398	1158	dow	6
