stem	boards	size	ptsNoneOpened	youCompletion	topQCompletion	frontierCompletion	uncontestedPerGame
ATES	423	7.9976	2659400	0.30908	0.37097	0.39313	1545.3
RING	148	15.236	2230400	0.29229	0.35452	0.36429	1296
RATE	367	8.1989	2158600	0.36469	0.42256	0.44518	1254.3
TING	128	16.539	1955000	0.34348	0.40509	0.42151	1136
REST	452	5.25	1505200	0.34408	0.35509	0.37167	874.61
INGS	104	14.125	1452600	0.29247	0.37065	0.37893	844.04
LATE	244	8.6926	1431600	0.34327	0.49163	0.47866	831.84
LING	85	15.329	1305000	0.30366	0.3389	0.36076	758.28
TIES	267	4.9326	1083800	0.24747	0.29651	0.29577	629.75
LINE	169	7.8817	1003600	0.42363	0.48105	0.49358	583.15
TINE	253	4.8775	949400	0.38078	0.4469	0.43767	551.66
ENTS	265	5.5434	900200	0.38449	0.36916	0.42763	523.07
ARES	426	6.0516	897400	0.52104	0.48381	0.59132	521.44
ASTER	217	6.5853	877400	0.4872	0.52685	0.56499	509.82
STED	248	5.9597	845600	0.32905	0.33333	0.40703	491.34
SING	133	7.9248	843600	0.37719	0.5	0.45563	490.18
RINE	236	5.6907	828000	0.46315	0.46275	0.50514	481.12
ONES	247	5.8097	826800	0.42401	0.42478	0.48749	480.42
ARED	259	6.7529	815200	0.31663	0.38375	0.39455	473.68
TIER	271	4.5904	808400	0.3752	0.42636	0.4077	469.73
RISE	291	5.1753	800400	0.39908	0.42857	0.42897	465.08
TONE	190	7.1053	796400	0.48806	0.52	0.58275	462.75
ORES	365	4.937	761600	0.50343	0.50794	0.56711	442.53
NITE	272	4.7463	754200	0.48708	0.52632	0.52761	438.23
AINE	239	5.7615	724000	0.4162	0.46569	0.47951	420.69
RITE	254	4.248	692800	0.42072	0.41975	0.45364	402.56
IRES	350	4.2057	691800	0.42331	0.52282	0.48639	401.98
EARS	292	6.0753	691600	0.49375	0.40541	0.55392	401.86
DING	56	10.804	685400	0.24525	0.44048	0.31386	398.26
ANTS	198	5.6364	644400	0.3976	0.33146	0.433	374.43
IDES	191	5.5812	643600	0.32867	0.34711	0.3898	373.97
ROSE	253	5.17	641200	0.4275	0.46364	0.46098	372.57
TATE	142	6.5986	638600	0.47989	0.62577	0.55039	371.06
ONER	227	6.022	630800	0.45023	0.48889	0.51919	366.53
ANTE	225	5.16	617200	0.46358	0.55155	0.54659	358.63
LITE	171	5.2456	610000	0.45942	0.43043	0.48962	354.45
STAR	277	5.1264	602400	0.5985	0.54508	0.65241	350.03
RAIN	215	6.093	601000	0.60374	0.51304	0.64554	349.22
RANT	174	5.6839	595600	0.44567	0.52128	0.46125	346.08
LIST	156	5.6603	588200	0.37	0.49254	0.4563	341.78
ERES	247	5.0567	584400	0.4569	0.36429	0.47247	339.57
OLES	189	5.6984	582200	0.41856	0.40851	0.46575	338.29
ANES	274	4.2956	577800	0.4065	0.38288	0.46425	335.74
ERING	100	6.24	575000	0.22568	0.25	0.25754	334.11
RATES	179	3.7542	569000	0.41474	0.41593	0.46805	330.62
LIES	160	4.9562	563000	0.25124	0.36813	0.32353	327.14
MATE	145	5.2483	548800	0.44141	0.51974	0.52646	318.88
READ	182	5.3626	534600	0.42088	0.36364	0.42758	310.63
INTER	137	5.8759	529200	0.55049	0.6	0.60165	307.5
HING	71	9.1408	523200	0.39421	0.33645	0.42927	304.01
NIES	242	4.562	521400	0.2471	0.3871	0.3309	302.96
ALES	221	5.552	516600	0.44207	0.45424	0.50503	300.17
OSES	126	6.1984	506600	0.30366	0.34437	0.36413	294.36
RETS	379	3.1715	505600	0.42645	0.42767	0.43945	293.78
DIES	136	4.8382	502400	0.22624	0.21839	0.2399	291.92
TERN	232	5.125	500400	0.53427	0.54545	0.54904	290.76
TENS	247	3.9312	498800	0.39964	0.47244	0.46174	289.83
RONE	200	5.645	493600	0.54485	0.51584	0.58414	286.81
ARTS	278	4.2158	493000	0.44058	0.42791	0.48671	286.46
TEST	219	4.79	489800	0.42683	0.49618	0.47032	284.6
RANG	95	6.9684	485200	0.31422	0.44538	0.36735	281.93
DENT	155	4.729	485000	0.36682	0.43939	0.40296	281.81
MINE	112	6	465000	0.41434	0.57241	0.49679	270.19
CANT	80	7.45	463400	0.38855	0.4252	0.44485	269.26
ARSE	288	3.9653	457600	0.43601	0.54545	0.5	265.89
CENT	89	7.0337	454000	0.34007	0.34	0.37333	263.8
STAT	98	6.7449	449000	0.48558	0.66667	0.51487	260.89
EATS	311	4.2669	446600	0.49901	0.54688	0.55463	259.5
AINS	193	5.2073	443800	0.52229	0.46988	0.5435	257.87
TIRE	285	3.9474	438400	0.60577	0.63536	0.6299	254.74
TORS	191	4.377	434000	0.47202	0.4697	0.45648	252.18
IRED	200	5.025	432800	0.36129	0.49143	0.43273	251.48
MENT	82	6.2683	432600	0.33016	0.325	0.34719	251.37
EASE	190	6.8053	430200	0.63198	0.64744	0.6733	249.97
RAIL	146	5.9041	428400	0.57244	0.56442	0.60354	248.93
NEST	272	3.386	421400	0.53965	0.42268	0.54276	244.86
STIE	240	3.6583	421400	0.41176	0.44444	0.44727	244.86
LETS	193	3.7824	420600	0.33626	0.41935	0.36232	244.39
SINE	221	3.5023	415600	0.46473	0.50847	0.51248	241.49
TRIN	182	5	415400	0.51423	0.62727	0.56769	241.37
RIDE	127	5.2441	412000	0.4625	0.49351	0.49916	239.4
AGES	90	5.1889	410600	0.35526	0.2766	0.39269	238.58
RENT	226	4.3496	409800	0.55624	0.58333	0.597	238.12
