word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
SERAI	5	800	783	1	783	41	0.0268199	0.00127714	166	0	0	120	0.133333	202	0.0594059	False	True	0.837349	0	0	0.162651	0.825032	0	0.00510856	0.16986	RAI	RAI	RAISE	0.604212	46.6237	0.595987	52.2258	free	RAI
AIREST	6	1400	372	4	372	45	0.0658602	0.0107527	89	1	0.011236	59	0.186441	91	0.153846	False	True	0.808989	0	0	0.191011	0.819892	0	0.00268817	0.177419	REST	REST		0.56495	40.0888	0.572495	41.0144	free	REST
TERAI	5	800	751	3	751	13	0.0106525	0.00399467	164	1	0.00609756	134	0.0373134	182	0.0384615	False	True	0.72561	0	0	0.27439	0.739015	0	0.00532623	0.255659	RAI	RAI		0.526296	39.6572	0.536023	44.8118	free	RAI
TERAIS	6	1400	352	1	352	7	0.0113636	0.00284091	78	0	0	57	0.0526316	81	0.0740741	False	True	0.871795	0	0.0128205	0.115385	0.846591	0	0.0113636	0.142045	RAIS	RAI		0.608412	38.6046	0.590968	40.6322	free	RAI
IRATE	5	800	672	27	672	76	0.0766369	0.0401786	135	1	0.00740741	122	0.139344	158	0.0949367	False	True	0.807407	0	0	0.192593	0.828869	0.0014881	0	0.169643	RATE	RATE		0.583333	36.1418	0.59912	42.1263	free	RATE
TERAS	5	800	963	93	963	39	0.0685358	0.0965732	201	22	0.109453	194	0.0721649	237	0.0632911	False	True	0.651741	0	0.263682	0.0845771	0.637591	0	0.28972	0.0726895	ERAS	RAS	STARE,STEAR,TEARS,REAST,TASER,RATES,TARES	0.493596	35.8921	0.485586	42.0154	free	RAS
RESTO	5	800	680	64	680	66	0.0955882	0.0941176	174	19	0.109195	128	0.15625	193	0.139896	False	True	0.729885	0	0.0862069	0.183908	0.702941	0.00294118	0.120588	0.173529	REST	REST	STORE,ROTES,TORES	0.535426	34.4749	0.520714	32.5344	free	REST
SETON	5	800	489	4	489	18	0.0224949	0.00817996	123	0	0	91	0.0659341	146	0.0479452	False	True	0.804878	0	0.097561	0.097561	0.773006	0	0.110429	0.116564	TON	TON	STONE,TONES,NOTES	0.588529	33.6498	0.567223	30.66	free	TON
SITAR	5	800	551	3	551	20	0.0208711	0.00544465	128	0	0	99	0.020202	160	0.06875	False	True	0.773438	0	0.0703125	0.15625	0.791289	0	0.0580762	0.150635	SIT	TAR		0.564662	33.5975	0.576236	35.2734	free	TAR
TREST	5	800	577	10	577	45	0.0476603	0.017331	139	5	0.0359712	108	0.157407	168	0.0833333	False	True	0.719424	0	0	0.280576	0.70364	0	0.00519931	0.291161	REST	REST		0.521983	31.4029	0.511347	31.9694	free	REST
SERAIL	6	1400	241	1	241	19	0.0414938	0.00414938	58	0	0	50	0.16	68	0.0882353	False	True	0.896552	0	0.0172414	0.0862069	0.892116	0	0.0124481	0.0954357	RAIL	RAIL	SAILER,RAILES	0.625544	29.5143	0.622477	29.2477	free	RAIL
SARED	5	800	552	22	552	64	0.0778986	0.0398551	120	4	0.0333333	102	0.0392157	154	0.136364	False	True	0.766667	0	0.0833333	0.15	0.764493	0	0.0923913	0.143116	SAR	ARE	DEARS,DARES,READS	0.560869	29.4268	0.559999	32.2018	free	ARE
ERING	5	800	334	4	334	1	0.00748503	0.011976	101	1	0.00990099	61	0	97	0	False	True	0.831683	0.049505	0	0.118812	0.805389	0.0658683	0	0.128743	RING	RING		0.627579	28.9996	0.618273	22.7117	free	RING
ASTERN	6	1400	303	0	303	53	0.0874587	0	71	0	0	74	0.364865	93	0.236559	False	True	0.690141	0	0	0.309859	0.531353	0.00660066	0.0165017	0.445545	ASTER			0.482691	27.8788	0.373624	22.2194	free	ASTER
