len	consonant	vowel	ratio	block	letter	mean	size
3	0.341228	0.128425	0.376361	suppression			
4	0.268087	0.109045	0.406753	suppression			
5	0.236153	0.0923909	0.391233	suppression			
6	0.192049	0.0738573	0.384576	suppression			
7	0.139244	0.0305757	0.219584	suppression			
8	0.0721078	0.0172205	0.238817	suppression			
				byFirstLetter	A	0.189487	818
				byFirstLetter	B	0.0103896	385
				byFirstLetter	C	0.0451011	643
				byFirstLetter	D	0.0396341	656
				byFirstLetter	E	0.183585	463
				byFirstLetter	F	0.0250896	279
				byFirstLetter	G	0.0362694	386
				byFirstLetter	H	0.0306122	490
				byFirstLetter	I	0.261411	241
				byFirstLetter	K	0.0568182	88
				byFirstLetter	L	0.0542265	627
				byFirstLetter	M	0.0298246	570
				byFirstLetter	N	0.163551	428
				byFirstLetter	O	0.199468	376
				byFirstLetter	P	0.0284757	597
				byFirstLetter	R	0.0344478	987
				byFirstLetter	S	0.0650645	1706
				byFirstLetter	T	0.0701139	1141
				byFirstLetter	U	0.317829	129
				byFirstLetter	V	0.0458716	109
				byFirstLetter	W	0.0207254	193
				byFirstLetter	Y	0.125	88
				byFirstLetter	Z	0	4
