word	len	trials	finds	vowelInitial	removedByFlux	commonEnglish	comparable	compP10	compMedian	pZeroAtP10	pZeroAtMedian	compP10SameInitial	compMedianSameInitial	pZeroAtP10SameInitial	pZeroAtMedianSameInitial	qAtMedian	qAtMedianSameInitial	qAtP10SameInitial
AARTI	5	260	0	True	False	False	1191	0.01014	0.1541	0.07075	1.272e-19	0.00463	0.03497	0.2992	9.576e-05	9.804e-19	0.00016	0.3971
AARTIS	6	116	0	True	False	False	1330	0.01111	0.1203	0.2736	3.47e-07	0.008929	0.03125	0.3533	0.02515	4.548e-07	0.02943	0.3971
ABEAR	5	134	0	True	False	True	1453	0.01064	0.1282	0.2386	1.036e-08	0.006794	0.02459	0.4011	0.03557	1.914e-08	0.03984	0.4053
ABO	3	588	0	True	True	False	258	0.02355	0.2346	8.215e-07	5.431e-69	0.007146	0.02633	0.01474	1.531e-07	4.484e-67	2.766e-07	0.2501
ABOS	4	202	0	True	True	False	955	0.01838	0.1706	0.02357	3.905e-17	0.005372	0.03141	0.3369	0.001584	2.48e-16	0.002436	0.3971
ABSIT	5	100	0	True	False	True	1526	0.01351	0.125	0.2565	1.588e-06	0.01016	0.03	0.36	0.04755	1.821e-06	0.0497	0.3971
ACARI	5	170	0	True	False	True	1401	0.009615	0.127	0.1935	9.414e-11	0.005896	0.02604	0.3659	0.01127	2.485e-10	0.01467	0.3971
ACINI	5	130	0	True	False	False	1432	0.01097	0.1283	0.2383	1.771e-08	0.007143	0.02459	0.3938	0.03929	3.093e-08	0.04237	0.4022
ADEEM	5	120	0	True	False	True	1502	0.0119	0.1309	0.2376	4.906e-08	0.008475	0.02459	0.3601	0.0504	7.562e-08	0.05212	0.3971
ADIEU	5	118	0	True	False	True	1461	0.0119	0.131	0.2434	6.414e-08	0.008432	0.02459	0.3682	0.05298	9.506e-08	0.0542	0.3971
ADMEN	5	118	0	True	False	False	1461	0.0119	0.131	0.2434	6.414e-08	0.008432	0.02459	0.3682	0.05298	9.506e-08	0.0542	0.3971
ADMIT	5	76	2	True	False	True	1540	0.01562	0.1212	0.3021	5.435e-05	0.01163	0.03638	0.4111	0.05984	5.444e-05	0.06036	0.4118
ADNATE	6	116	0	True	False	True	1330	0.01111	0.1203	0.2736	3.47e-07	0.008929	0.03125	0.3533	0.02515	4.548e-07	0.02943	0.3971
AECIA	5	162	0	True	False	False	1444	0.008997	0.1269	0.2313	2.821e-10	0.00601	0.02459	0.3766	0.01771	6.822e-10	0.02226	0.3971
AEDINE	6	166	0	True	False	False	975	0.01064	0.135	0.1694	3.505e-11	0.006849	0.03431	0.3195	0.003041	9.882e-11	0.004507	0.3971
AEGIS	5	184	0	True	False	True	1424	0.009259	0.1316	0.1806	5.348e-12	0.005587	0.02604	0.3567	0.007788	1.756e-11	0.0105	0.3971
AERY	4	490	0	True	False	True	783	0.01849	0.1867	0.0001068	1.075e-44	0.004278	0.02654	0.1224	1.891e-06	3.272e-43	3.283e-06	0.3971
AESIR	5	930	0	True	False	False	287	0.01999	0.3047	6.99e-09	1.614e-147	0.005406	0.06997	0.006467	5.047e-30	3.11e-145	1.389e-28	0.1625
AFAR	4	90	0	True	False	True	660	0.01558	0.1391	0.2434	1.392e-06	0.01051	0.03333	0.3866	0.0473	1.628e-06	0.0497	0.3985
AFIRE	5	144	0	True	False	True	1418	0.009804	0.1283	0.242	2.591e-09	0.006667	0.02689	0.3817	0.01973	5.348e-09	0.02385	0.3971
AFRIT	5	126	0	True	False	False	1388	0.01277	0.1361	0.198	9.896e-09	0.007945	0.02545	0.366	0.03883	1.857e-08	0.04211	0.3971
AGIOS	5	108	0	True	False	False	1494	0.01282	0.125	0.2482	5.456e-07	0.009488	0.02632	0.3571	0.05613	7.023e-07	0.05721	0.3971
AGLU	4	114	0	True	False	False	786	0.0202	0.1522	0.0976	6.714e-09	0.008504	0.03623	0.3777	0.01489	1.32e-08	0.01934	0.3971
AGRIA	5	144	0	True	False	True	1418	0.009804	0.1283	0.242	2.591e-09	0.006667	0.02689	0.3817	0.01973	5.348e-09	0.02385	0.3971
AHEAD	5	116	1	True	False	True	1478	0.0119	0.131	0.2493	8.493e-08	0.008475	0.02439	0.3726	0.05701	1.243e-07	0.05771	0.3971
AHENT	5	290	0	True	False	False	1098	0.00983	0.1564	0.05699	3.857e-22	0.004441	0.03391	0.2751	4.522e-05	3.484e-21	7.621e-05	0.3971
AHIND	5	104	0	True	False	True	1456	0.01316	0.1222	0.2522	1.294e-06	0.009785	0.03038	0.3596	0.0404	1.555e-06	0.04316	0.3971
AHINT	5	250	0	True	False	True	1222	0.01075	0.1543	0.06702	6.439e-19	0.004764	0.03497	0.303	0.0001367	4.43e-18	0.000227	0.3971
AHOY	4	122	1	True	False	True	823	0.01933	0.1556	0.0924	1.101e-09	0.00805	0.03906	0.373	0.007741	2.392e-09	0.0105	0.3971
AIERY	5	182	0	True	False	False	1435	0.009524	0.129	0.1752	1.203e-11	0.005714	0.02632	0.3524	0.0078	3.646e-11	0.0105	0.3971
AIGA	4	208	0	True	False	False	962	0.01832	0.172	0.02139	9.019e-18	0.005389	0.03017	0.325	0.001708	5.793e-17	0.002605	0.3971
AINGA	5	230	0	True	False	False	1284	0.009551	0.1467	0.11	1.407e-16	0.004946	0.03071	0.3197	0.0007666	8.651e-16	0.001231	0.3971
AIOLI	5	132	0	True	False	False	1402	0.01064	0.125	0.2437	2.213e-08	0.006849	0.02459	0.4036	0.03739	3.73e-08	0.04108	0.4058
AITU	4	490	0	True	False	False	783	0.01849	0.1867	0.0001068	1.075e-44	0.004278	0.02654	0.1224	1.891e-06	3.272e-43	3.283e-06	0.3971
AITUS	5	192	0	True	False	False	1369	0.008772	0.1397	0.1842	2.833e-13	0.005188	0.02632	0.3684	0.005974	1.085e-12	0.008241	0.3971
ALDEA	5	214	0	True	False	False	1331	0.009346	0.1421	0.1341	5.687e-15	0.00504	0.02869	0.3391	0.001971	2.694e-14	0.002983	0.3971
ALDEAS	6	120	0	True	False	False	1349	0.01111	0.121	0.2616	1.908e-07	0.008929	0.03125	0.3409	0.02215	2.583e-07	0.02634	0.3971
ALDOSE	6	100	0	True	False	True	1506	0.0125	0.1144	0.2843	5.273e-06	0.009543	0.03125	0.3833	0.0418	5.291e-06	0.04401	0.3971
ALEPH	5	152	0	True	False	True	1423	0.01057	0.129	0.1988	7.591e-10	0.006173	0.02604	0.3902	0.01812	1.681e-09	0.02262	0.4013
ALEWS	5	104	0	True	False	False	1456	0.01316	0.1222	0.2522	1.294e-06	0.009785	0.03038	0.3596	0.0404	1.555e-06	0.04316	0.3971
ALISON	6	130	0	True	False	True	1235	0.01042	0.1224	0.2563	4.221e-08	0.008475	0.03125	0.3308	0.01613	6.684e-08	0.02067	0.3971
AMRIT	5	204	0	True	False	False	1342	0.009259	0.1405	0.1499	3.881e-14	0.005097	0.02763	0.3526	0.003297	1.602e-13	0.004812	0.3971
AMRITS	6	104	0	True	False	False	1400	0.0119	0.1136	0.2878	3.562e-06	0.009434	0.03125	0.3731	0.03681	3.702e-06	0.04069	0.3971
ANENST	6	168	0	True	False	True	998	0.0108	0.1346	0.1613	2.849e-11	0.006879	0.03384	0.3136	0.003077	8.152e-11	0.004537	0.3971
ANESTRA	7	186	0	True	False	False	139	0.0118	0.1127	0.11	2.204e-10	0.005697	0.01974	0.3456	0.02453	5.54e-10	0.02888	0.3971
ANETIC	6	170	0	True	False	False	972	0.01066	0.1337	0.1617	2.513e-11	0.006849	0.03472	0.3109	0.00246	7.263e-11	0.003693	0.3971
ANLAS	5	226	0	True	False	False	1269	0.009844	0.1446	0.1069	4.707e-16	0.004926	0.03109	0.3276	0.0007946	2.675e-15	0.001269	0.3971
ANOAS	5	220	0	True	False	False	1317	0.00996	0.1455	0.1106	9.588e-16	0.004936	0.03109	0.3367	0.0009604	5.228e-15	0.001504	0.3971
ANSAE	5	436	0	True	False	False	780	0.01047	0.19	0.01014	1.269e-40	0.00451	0.04072	0.1393	1.341e-08	2.933e-39	3.203e-08	0.3971
ANTRAL	6	128	0	True	False	True	1285	0.01064	0.122	0.2544	5.894e-08	0.008682	0.03125	0.3275	0.01718	8.918e-08	0.02173	0.3971
ANURA	5	112	0	True	False	False	1434	0.0122	0.1309	0.253	1.507e-07	0.009364	0.02459	0.3486	0.06151	2.109e-07	0.06162	0.3971
AORIST	6	240	0	True	False	True	660	0.01071	0.1328	0.07551	1.394e-15	0.005459	0.03595	0.2688	0.0001528	7.196e-15	0.0002523	0.3971
AORTAE	6	218	0	True	False	False	752	0.01087	0.1408	0.09232	4.336e-15	0.005489	0.03849	0.3013	0.0001922	2.106e-14	0.0003156	0.3971
AORTAL	6	104	0	True	False	True	1400	0.0119	0.1136	0.2878	3.562e-06	0.009434	0.03125	0.3731	0.03681	3.702e-06	0.04069	0.3971
