metric	subject	peer	diff	lo	hi	pT	pWilcoxon	n
score	55612.9	50274.8	5338.08	4724.59	5997.44	1.23409e-49	5.89007e-46	730
words	100.305	91.5945	8.71096	7.88714	9.55254	5.41505e-73	2.14104e-66	730
meanLen	4.23696	4.21547	0.0214923	0.00908827	0.0356314	0.00172076	0.0151608	730
open10	4.25055	3.90726	0.343288	0.309794	0.375718	6.11733e-74	2.72696e-64	730
open15	4.27425	3.95918	0.315068	0.283628	0.344236	2.59365e-78	8.84364e-67	730
pts15	8461.23	6462.47	1998.77	1804.07	2188.65	4.65212e-76	1.26687e-66	730
capture	0.202875	0.185276	0.0175994	0.0153483	0.0199169	1.20487e-42	5.00703e-42	730
share3	0.291454	0.30159	-0.0101365	-0.0139067	-0.00653206	3.94756e-08	2.4791e-08	730
share4	0.349311	0.350139	-0.000828562	-0.00429497	0.00258614	0.633046	0.833466	730
share5	0.229122	0.219319	0.00980336	0.00676162	0.0129724	1.26212e-09	4.84374e-08	730
share6	0.0967322	0.0949612	0.00177103	-0.00093989	0.00488795	0.220033	0.352285	730
share7	0.0333811	0.0339904	-0.000609319	-0.00281716	0.00161682	0.599137	0.248949	730
