gid	dOpen	margin	dN
4	-0.2	1700	6
7	0.466667	19100	30
95	0.0666667	5700	17
98	1.26667	29200	35
100	0.0666667	7400	15
106	0.0666667	-3300	28
108	-0.133333	3600	10
116	0.466667	2000	26
118	-0.266667	12500	26
121	0.0666667	3400	8
128	0.4	8100	21
135	0.2	20900	8
136	0.733333	8700	22
139	0.0666667	-700	16
140	0.0666667	12100	42
141	0.6	13800	6
142	-0.466667	-2300	9
145	0.266667	-1200	4
147	-0.0666667	-1600	8
148	0	18100	17
149	0.4	23300	35
163	-0.0666667	4600	19
170	0.733333	15000	22
172	0.333333	15200	30
364	0.333333	15300	24
365	0	4600	5
367	0.6	900	22
369	0.4	4600	4
371	0.333333	9900	26
394	1.26667	33500	22
406	0.0666667	7100	16
408	0.933333	22700	26
420	0.6	14100	10
422	-0.4	-2200	1
425	0.866667	9900	6
430	0.266667	4100	12
432	0.533333	14200	16
437	-0.133333	8800	30
819	0	8800	16
820	-0.0666667	-200	9
822	0.733333	37400	32
823	0.266667	29600	27
840	1.06667	16700	13
842	0.133333	900	17
863	-0.266667	500	-1
875	-0.0666667	10900	31
879	-0.333333	10000	20
894	0.733333	15400	21
914	0.333333	12300	10
917	0.4	4500	6
918	0.266667	2800	8
919	0.2	24800	40
933	0.866667	27500	30
934	0.4	5300	6
935	0.6	15200	17
937	0.4	19300	17
948	0.2	11700	3
1032	0.2	17500	14
1033	0.0666667	5300	19
1034	1.26667	19000	25
1035	0.466667	3000	10
1036	0.533333	11300	21
1037	-0.0666667	1300	3
1039	0.266667	6600	13
1063	0.266667	5500	25
1067	0.266667	12300	19
1111	0.266667	3600	4
1112	0.2	13600	11
1114	1.13333	1200	-2
1118	0.466667	16300	25
1121	0.266667	19900	15
1184	0.6	3700	2
1206	0.333333	24100	28
1207	0.6	29700	6
1210	0.133333	19600	24
1211	0.666667	11700	12
1213	0.466667	19100	26
1226	-0.0666667	25100	20
1277	0.666667	13300	9
1364	0.533333	8800	11
1379	0.733333	23400	6
1380	0.4	-100	13
1381	0.333333	3900	3
1383	-1.06667	-300	0
1385	0.933333	4200	2
1401	0.4	5000	0
1403	0.4	5600	12
1405	0.8	19500	16
1406	0.466667	15900	17
1408	0.533333	29900	9
1409	0.266667	11800	15
1410	0.733333	6400	-1
1415	-0.2	30100	23
1416	0	16400	26
1420	1.13333	13300	19
1427	0.0666667	100	3
1429	0.2	6100	0
1432	0.2	1700	4
1433	0.4	17200	11
1434	0.6	6800	4
1435	0.4	2900	7
1448	0.133333	-3800	-5
1472	1.06667	23600	12
1562	0.466667	10600	23
1571	1.06667	6600	12
1678	0.6	7800	7
1680	0.666667	13900	13
2079	1.46667	16300	-1
2080	0.733333	14600	16
2179	0.4	100	11
2180	0.733333	19500	11
2182	0.266667	10900	5
2185	0	-1900	0
2186	0.266667	-4800	16
2192	0.4	11900	15
2193	0.266667	12200	20
2194	0.266667	15700	21
2320	0.666667	-1400	5
2447	0.6	5000	-8
2449	0.2	2800	11
2455	0.266667	10100	13
2456	-0.133333	4900	9
2459	0.533333	28900	59
2461	0.2	4000	1
2462	0.666667	8000	13
2463	0.8	12500	4
2464	0.266667	11700	15
2466	0.466667	4000	11
2467	0.733333	9300	7
2468	0.133333	15900	12
2560	0.466667	6800	5
2561	0.133333	5300	10
2562	0.6	10800	-1
2563	0.2	5600	27
2564	0.533333	9700	15
2568	1	-17200	-61
2600	0.333333	18300	17
2603	-0.4	9000	-3
2604	0.866667	15300	2
2605	0.8	2600	5
2606	0.333333	9900	26
2610	0.733333	15400	18
2625	1.6	16400	-1
2626	0.0666667	20100	17
2628	0.666667	7100	-8
2630	-0.266667	5900	14
2633	-0.333333	6700	8
2634	0.8	15500	14
2638	0.0666667	9000	9
2639	0.866667	1900	18
2640	-0.466667	7000	-9
2641	0.333333	2900	-9
2642	0.8	7400	4
2643	0.6	32000	9
2644	0.8	7800	19
2645	-0.4	11100	15
2646	0.133333	-400	5
2647	0.2	-3800	-7
2648	0.266667	12000	7
2649	-0.0666667	9400	14
2650	0.333333	4700	-4
2659	0.133333	6800	5
2661	0.6	18800	20
2678	0.733333	17200	-3
2910	-0.0666667	-6400	5
2912	0	2300	11
2915	0.4	11700	-5
2916	0.266667	3400	5
2921	0.6	-1000	5
2936	0.8	18500	14
2941	0.866667	7400	2
2944	1	7500	11
2958	0.533333	1100	-3
2969	1.13333	-5100	-14
2971	0.466667	18200	10
2979	0.0666667	-3200	-1
2984	1.2	13200	11
2985	-0.133333	-300	-1
2986	0.2	1700	-5
2987	0.8	18400	18
2996	0.666667	7100	6
3397	0.733333	6600	22
3398	-0.133333	-5100	3
3418	0.6	5900	10
3424	0.533333	5500	-7
3426	0.333333	26200	10
3427	0.866667	2500	-8
3428	0.6	7600	-6
3429	0.333333	-1300	-6
3430	0.666667	3800	13
3432	0.6	9900	5
3436	0.666667	-2800	6
3438	0.8	5000	-3
3439	-0.666667	10400	38
3490	1.2	18900	9
3491	0	-4400	-1
3492	-0.533333	-3600	8
3544	0.466667	-1100	12
3547	-0.333333	7200	-1
3550	0.333333	2100	11
3551	0	-8100	2
3553	-0.133333	13000	34
3569	0.8	37700	37
3571	0.666667	16300	7
3572	0.533333	-10300	-2
3573	-0.666667	13700	17
3575	0.533333	-5100	-2
3576	0.266667	3600	20
3583	0.666667	30100	39
3584	0.0666667	-3200	-3
3586	0.4	8500	32
3587	0.733333	8300	24
3615	1.46667	35700	13
3646	-0.2	-2700	0
3648	0.266667	6000	12
3656	-0.133333	-1400	0
3658	0.2	3800	13
3661	0.6	17100	3
3662	0.733333	8000	11
3667	1.46667	2200	-1
3679	-0.133333	10100	27
3681	0.333333	11200	12
3682	0.466667	14400	25
3689	0.733333	6200	8
3690	-0.466667	-2700	1
3691	0.266667	4000	19
3692	0.666667	13800	5
3695	0.6	4100	8
3722	0	-3800	3
3728	0.466667	12200	14
3729	0	300	0
3734	0.6	16600	11
3737	-0.333333	-6800	6
3741	0.333333	9000	23
3742	-0.333333	6600	-9
3754	0.0666667	20600	45
3759	0.8	-2100	-5
3760	0.6	6100	6
3764	0.4	6100	8
3765	0.133333	2800	6
3766	-0.266667	700	10
3767	0.666667	-9800	-17
3768	0.733333	14600	9
3769	-0.4	20500	30
3851	0.933333	3800	-5
3852	0.333333	13200	33
3863	1.46667	-11700	9
3865	0.0666667	-5100	-14
3885	0.6	7900	26
3886	0.6	-1100	9
3887	0.133333	1500	7
3888	-0.0666667	5300	6
3890	0.6	12500	12
3891	0.133333	9100	8
3892	1.2	5200	8
3893	0.333333	5500	19
3894	0.133333	-700	-3
