word	len	pts	boards	subjectFound	peerFound	subjectOnly	peerOnly	rateSubjectElsewhere	ratePeerElsewhere	netPtsToPeer	netPtsPerGame	side
ESTER	5	800	81	0	31	0	31	0.00869463	0.252247	24800	33.9726	peerOnly
ESTERS	6	1400	30	0	14	0	14	0.00818767	0.256578	19600	26.8493	peerOnly
LATENS	6	1400	24	0	12	0	12	0.0612738	0.379867	16800	23.0137	peerOnly
RETIE	5	800	51	0	14	0	14	0.0419634	0.204613	11200	15.3425	peerOnly
RENIES	6	1400	20	0	7	0	7	0.00408837	0.176266	9800	13.4247	peerOnly
ARTIS	5	800	63	0	12	0	12	0.0114041	0.13414	9600	13.1507	peerOnly
DEAREST	7	1800	6	0	4	0	4	0.0133123	0.299271	7200	9.86301	peerOnly
DORTERS	7	1800	11	0	4	0	4	0.0342317	0.271488	7200	9.86301	peerOnly
ATONIES	7	1800	8	0	4	0	4	0.00521107	0.179779	7200	9.86301	peerOnly
TANNIE	6	1400	8	0	5	0	5	0.218027	0.31851	7000	9.58904	peerOnly
TRAPSE	6	1400	14	0	5	0	5	0.0228231	0.290004	7000	9.58904	peerOnly
DORSEL	6	1400	14	0	5	0	5	0.0409544	0.156139	7000	9.58904	peerOnly
AIRTED	6	1400	20	0	5	0	5	0.0108682	0.216259	7000	9.58904	peerOnly
ALLIES	6	1400	13	0	5	0	5	0.116974	0.4272	7000	9.58904	peerOnly
DIREST	6	1400	26	0	5	0	5	0.00480146	0.152674	7000	9.58904	peerOnly
RENIED	6	1400	11	0	5	0	5	0.00779104	0.113844	7000	9.58904	peerOnly
RETASTES	8	2200	6	0	3	0	3	0.06251	0.168845	6600	9.0411	peerOnly
ASSET	5	800	30	0	8	0	8	0.0129674	0.21799	6400	8.76712	peerOnly
OATEN	5	800	37	0	8	0	8	0.00322327	0.146553	6400	8.76712	peerOnly
SITAR	5	800	68	0	8	0	8	0.00837345	0.0318949	6400	8.76712	peerOnly
CANTED	6	1400	4	0	4	0	4	0.587309	0.514943	5600	7.67123	peerOnly
DORTER	6	1400	12	0	4	0	4	0.0234083	0.255979	5600	7.67123	peerOnly
CRATED	6	1400	9	0	4	0	4	0.22809	0.408508	5600	7.67123	peerOnly
TASSET	6	1400	10	0	4	0	4	0.0101957	0.129343	5600	7.67123	peerOnly
DARRES	6	1400	10	0	4	0	4	0.0571022	0.317412	5600	7.67123	peerOnly
ERASE	5	800	57	29	0	29	0	0.434242	0.0170625	-23200	-31.7808	subjectOnly
SORTES	6	1400	18	11	0	11	0	0.301671	0.0756127	-15400	-21.0959	subjectOnly
SNEERS	6	1400	14	10	0	10	0	0.569652	0.0755922	-14000	-19.1781	subjectOnly
TRACE	5	800	23	16	0	16	0	0.558947	0.146776	-12800	-17.5342	subjectOnly
INNERS	6	1400	12	8	0	8	0	0.370068	0.0490667	-11200	-15.3425	subjectOnly
LAREE	5	800	20	14	0	14	0	0.431212	0.00878101	-11200	-15.3425	subjectOnly
ERNE	4	400	60	27	0	27	0	0.397257	0.0173439	-10800	-14.7945	subjectOnly
ERNES	5	800	28	13	0	13	0	0.452419	0.00829395	-10400	-14.2466	subjectOnly
LAREES	6	1400	9	7	0	7	0	0.429533	0.0114792	-9800	-13.4247	subjectOnly
TRACES	6	1400	14	7	0	7	0	0.574607	0.1716	-9800	-13.4247	subjectOnly
TRACER	6	1400	7	7	0	7	0	0.532758	0.116993	-9800	-13.4247	subjectOnly
ERASES	6	1400	15	7	0	7	0	0.450489	0.023552	-9800	-13.4247	subjectOnly
HALSE	5	800	17	12	0	12	0	0.424765	0.0487636	-9600	-13.1507	subjectOnly
RENAILS	7	1800	7	5	0	5	0	0.396995	0.256502	-9000	-12.3288	subjectOnly
SLANDER	7	1800	5	5	0	5	0	0.684598	0.395285	-9000	-12.3288	subjectOnly
INNER	5	800	22	11	0	11	0	0.384222	0.039658	-8800	-12.0548	subjectOnly
EARST	5	800	67	11	0	11	0	0.172218	0.00382597	-8800	-12.0548	subjectOnly
LEEAR	5	800	23	11	0	11	0	0.331845	0.0142587	-8800	-12.0548	subjectOnly
MATRES	6	1400	20	6	0	6	0	0.411782	0.0167309	-8400	-11.5068	subjectOnly
TRICES	6	1400	8	6	0	6	0	0.54964	0.167132	-8400	-11.5068	subjectOnly
ERASED	6	1400	16	6	0	6	0	0.368936	0.0241966	-8400	-11.5068	subjectOnly
ERASER	6	1400	17	6	0	6	0	0.332366	0.00750179	-8400	-11.5068	subjectOnly
MAIRES	6	1400	8	6	0	6	0	0.544684	0.0991704	-8400	-11.5068	subjectOnly
TEEND	5	800	21	10	0	10	0	0.420506	0.00552719	-8000	-10.9589	subjectOnly
IRONERS	7	1800	6	4	0	4	0	0.259948	0.00885365	-7200	-9.86301	subjectOnly
