word	len	pts	boards	subjectFound	peerFound	subjectOnly	peerOnly	rateSubjectElsewhere	ratePeerElsewhere	netPtsToPeer	netPtsPerGame
ESTER	5	800	81	0	31	0	31	0.0086946	0.25225	24800	33.973
ESTERS	6	1400	30	0	14	0	14	0.0081877	0.25658	19600	26.849
RETINES	7	1800	21	1	11	0	10	0.18166	0.44033	18000	24.658
LATER	5	800	64	19	41	5	27	0.39598	0.67177	17600	24.11
LATEN	5	800	48	1	22	1	22	0.057218	0.39533	16800	23.014
LATENS	6	1400	24	0	12	0	12	0.061274	0.37987	16800	23.014
RESITE	6	1400	30	3	14	1	12	0.32862	0.42814	15400	21.096
TEARS	5	800	71	31	49	9	27	0.55685	0.60134	14400	19.726
SANER	5	800	50	1	19	0	18	0.025214	0.31977	14400	19.726
TIES	4	400	138	41	76	15	50	0.26284	0.4676	14000	19.178
RETINE	6	1400	32	6	16	1	11	0.16223	0.36125	14000	19.178
RATES	5	800	110	57	73	14	30	0.58411	0.63044	12800	17.534
RETIES	6	1400	28	1	10	1	10	0.036172	0.23794	12600	17.26
RATED	5	800	47	13	28	7	22	0.25376	0.56402	12000	16.438
RETIE	5	800	51	0	14	0	14	0.041963	0.20461	11200	15.342
RETINT	6	1400	24	4	12	3	11	0.28463	0.2976	11200	15.342
RELIST	6	1400	26	4	12	1	9	0.18865	0.32243	11200	15.342
SINED	5	800	47	9	23	2	16	0.26413	0.35682	11200	15.342
RAREST	6	1400	20	3	11	3	11	0.3452	0.28766	11200	15.342
NIES	4	400	124	13	40	10	37	0.10581	0.26444	10800	14.795
NATES	5	800	71	3	16	2	15	0.030172	0.18576	10400	14.247
LATED	5	800	31	4	17	2	15	0.082206	0.50799	10400	14.247
TARS	4	400	119	24	49	12	37	0.20955	0.3491	10000	13.699
DIES	4	400	82	13	38	3	28	0.22519	0.43502	10000	13.699
DONERS	6	1400	19	3	10	0	7	0.058847	0.53119	9800	13.425
AIREST	6	1400	36	2	9	1	8	0.008287	0.30095	9800	13.425
RENIES	6	1400	20	0	7	0	7	0.0040884	0.17627	9800	13.425
LIES	4	400	88	23	47	9	33	0.20769	0.44955	9600	13.151
STIED	5	800	51	5	17	2	14	0.14584	0.23702	9600	13.151
ARTIS	5	800	63	0	12	0	12	0.011404	0.13414	9600	13.151
TRINS	5	800	36	4	16	3	15	0.12993	0.28522	9600	13.151
SITED	5	800	49	8	20	4	16	0.27879	0.42316	9600	13.151
STIE	4	400	148	25	48	10	33	0.20396	0.27789	9200	12.603
AITS	4	400	103	15	38	11	34	0.1456	0.35197	9200	12.603
RATINES	7	1800	22	1	6	1	6	0.16918	0.30231	9000	12.329
MATED	5	800	18	3	14	1	12	0.21304	0.60165	8800	12.055
REARS	5	800	44	14	25	3	14	0.41932	0.39936	8800	12.055
TONIER	6	1400	21	2	8	0	6	0.18306	0.3234	8400	11.507
TORIES	6	1400	20	1	7	0	6	0.10058	0.21139	8400	11.507
RELIES	6	1400	17	1	7	0	6	0.039235	0.26692	8400	11.507
MATES	5	800	38	18	28	5	15	0.56999	0.72756	8000	10.959
DATED	5	800	15	1	11	1	11	0.24286	0.37602	8000	10.959
TEAR	4	400	136	64	83	23	42	0.51941	0.56517	7600	10.411
SARED	5	800	60	5	14	2	11	0.036391	0.1817	7200	9.863
AIRS	4	400	82	29	47	8	26	0.33522	0.51812	7200	9.863
SOLED	5	800	21	2	11	0	9	0.2716	0.36413	7200	9.863
CARED	5	800	31	13	22	2	11	0.37723	0.46969	7200	9.863
LINED	5	800	26	8	17	0	9	0.29368	0.51644	7200	9.863
DEAREST	7	1800	6	0	4	0	4	0.013312	0.29927	7200	9.863
TORSE	5	800	52	24	33	8	17	0.49481	0.5187	7200	9.863
RASED	5	800	43	8	17	6	15	0.20227	0.36671	7200	9.863
TANE	4	400	110	28	46	13	31	0.27513	0.40352	7200	9.863
TORES	5	800	80	46	55	11	20	0.65078	0.52377	7200	9.863
DORTERS	7	1800	11	0	4	0	4	0.034232	0.27149	7200	9.863
PATES	5	800	35	17	26	5	14	0.59649	0.64284	7200	9.863
ATONIES	7	1800	8	0	4	0	4	0.0052111	0.17978	7200	9.863
TRIES	5	800	66	13	22	6	15	0.19005	0.25057	7200	9.863
ANTAS	5	800	24	1	10	0	9	0.10472	0.24507	7200	9.863
RAITED	6	1400	17	1	6	1	6	0.12304	0.34745	7000	9.589
RESITS	6	1400	22	2	7	1	6	0.32125	0.29599	7000	9.589
TANNIE	6	1400	8	0	5	0	5	0.21803	0.31851	7000	9.589
REARED	6	1400	13	2	7	1	6	0.43232	0.38659	7000	9.589
TRAPSE	6	1400	14	0	5	0	5	0.022823	0.29	7000	9.589
DORSEL	6	1400	14	0	5	0	5	0.040954	0.15614	7000	9.589
RESTER	6	1400	28	13	18	4	9	0.47093	0.28148	7000	9.589
SERRED	6	1400	16	1	6	0	5	0.24728	0.15614	7000	9.589
DINERS	6	1400	25	12	17	4	9	0.58131	0.55165	7000	9.589
DOSING	6	1400	7	1	6	0	5	0.33722	0.36536	7000	9.589
AIRTED	6	1400	20	0	5	0	5	0.010868	0.21626	7000	9.589
ALLIES	6	1400	13	0	5	0	5	0.11697	0.4272	7000	9.589
DIREST	6	1400	26	0	5	0	5	0.0048015	0.15267	7000	9.589
RENIED	6	1400	11	0	5	0	5	0.007791	0.11384	7000	9.589
LINS	4	400	59	6	23	2	19	0.2512	0.34762	6800	9.3151
RETASTES	8	2200	6	0	3	0	3	0.06251	0.16885	6600	9.0411
ASSET	5	800	30	0	8	0	8	0.012967	0.21799	6400	8.7671
TRIE	4	400	109	16	32	8	24	0.17568	0.21371	6400	8.7671
LATE	4	400	104	52	68	21	37	0.57188	0.71025	6400	8.7671
OATEN	5	800	37	0	8	0	8	0.0032233	0.14655	6400	8.7671
RAST	4	400	115	53	69	13	29	0.41693	0.50697	6400	8.7671
BARED	5	800	19	8	16	1	9	0.39347	0.52267	6400	8.7671
CARTS	5	800	31	13	21	5	13	0.51785	0.57887	6400	8.7671
AIRER	5	800	29	4	12	3	11	0.095911	0.36236	6400	8.7671
ANTIS	5	800	31	3	11	1	9	0.08814	0.29003	6400	8.7671
DONER	5	800	31	6	14	2	10	0.15543	0.52163	6400	8.7671
TERES	5	800	56	14	22	5	13	0.2837	0.31746	6400	8.7671
RORTS	5	800	20	1	9	0	8	0.015454	0.24359	6400	8.7671
RESIN	5	800	75	9	17	7	15	0.15106	0.34309	6400	8.7671
LEAST	5	800	31	5	13	2	10	0.29997	0.48308	6400	8.7671
TIRED	5	800	50	13	21	9	17	0.20667	0.3702	6400	8.7671
RELIE	5	800	26	1	9	0	8	0.028047	0.23865	6400	8.7671
AIRTS	5	800	53	8	16	3	11	0.14755	0.30919	6400	8.7671
SITAR	5	800	68	0	8	0	8	0.0083734	0.031895	6400	8.7671
RILES	5	800	26	9	17	1	9	0.42926	0.47245	6400	8.7671
GERES	5	800	20	2	10	0	8	0.21991	0.21652	6400	8.7671
TINED	5	800	44	6	14	4	12	0.1978	0.28367	6400	8.7671
EARS	4	400	133	54	69	25	40	0.416	0.50144	6000	8.2192
TEES	4	400	81	24	39	15	30	0.23457	0.45598	6000	8.2192
SIRING	6	1400	6	1	5	0	4	0.43068	0.44065	5600	7.6712
CITERS	6	1400	16	7	11	1	5	0.51891	0.54021	5600	7.6712
RATERS	6	1400	32	16	20	8	12	0.65861	0.54794	5600	7.6712
CANTED	6	1400	4	0	4	0	4	0.58731	0.51494	5600	7.6712
DORSES	6	1400	8	2	6	0	4	0.60403	0.38769	5600	7.6712
DORTER	6	1400	12	0	4	0	4	0.023408	0.25598	5600	7.6712
DIRE	4	400	88	18	32	10	24	0.28071	0.41119	5600	7.6712
CRATED	6	1400	9	0	4	0	4	0.22809	0.40851	5600	7.6712
OAST	4	400	57	6	20	5	19	0.14262	0.21917	5600	7.6712
LISTEN	6	1400	16	3	7	1	5	0.082747	0.12222	5600	7.6712
ASHEN	5	800	21	1	8	1	8	0.013121	0.16627	5600	7.6712
TASSET	6	1400	10	0	4	0	4	0.010196	0.12934	5600	7.6712
ARTIES	6	1400	31	1	5	0	4	0.030226	0.11324	5600	7.6712
FARSE	5	800	20	3	10	2	9	0.14374	0.4112	5600	7.6712
DARRES	6	1400	10	0	4	0	4	0.057102	0.31741	5600	7.6712
LISTER	6	1400	33	17	21	6	10	0.54803	0.42732	5600	7.6712
ASTERN	6	1400	39	0	4	0	4	0.0030701	0.060647	5600	7.6712
COINER	6	1400	7	0	4	0	4	0.42078	0.15165	5600	7.6712
APRES	5	800	30	0	7	0	7	0.03869	0.12705	5600	7.6712
STENO	5	800	51	2	9	1	8	0.017352	0.091538	5600	7.6712
TENNER	6	1400	6	1	5	0	4	0.44516	0.53299	5600	7.6712
TAPES	5	800	23	9	16	2	9	0.52085	0.57675	5600	7.6712
LOSING	6	1400	7	2	6	1	5	0.61835	0.39076	5600	7.6712
SAINED	6	1400	14	4	8	3	7	0.38255	0.36654	5600	7.6712
MASER	5	800	25	4	11	1	8	0.20928	0.38054	5600	7.6712
MASERS	6	1400	8	0	4	0	4	0.11927	0.24123	5600	7.6712
RELIT	5	800	43	6	13	3	10	0.12606	0.2862	5600	7.6712
HATED	5	800	18	5	12	0	7	0.21945	0.48503	5600	7.6712
LATHES	6	1400	8	3	7	1	5	0.42823	0.42488	5600	7.6712
TOLLIE	6	1400	8	2	6	1	5	0.30323	0.50569	5600	7.6712
RATTEN	6	1400	10	0	4	0	4	0.1031	0.20726	5600	7.6712
SPIRES	6	1400	8	2	6	0	4	0.53942	0.46987	5600	7.6712
HISTED	6	1400	9	0	4	0	4	0.051701	0.16716	5600	7.6712
RAITS	5	800	54	22	29	8	15	0.40498	0.52146	5600	7.6712
TILDES	6	1400	11	0	4	0	4	0.25466	0.25495	5600	7.6712
RELLIE	6	1400	7	0	4	0	4	0.038039	0.17524	5600	7.6712
TASED	5	800	39	9	16	5	12	0.28929	0.39298	5600	7.6712
STEED	5	800	29	2	9	1	8	0.1432	0.24206	5600	7.6712
STILLER	7	1800	6	1	4	0	3	0.58902	0.48463	5400	7.3973
RELLIES	7	1800	4	0	3	0	3	0.049577	0.20831	5400	7.3973
SERRATE	7	1800	8	0	3	0	3	0.02025	0.12561	5400	7.3973
RETINTS	7	1800	14	3	6	2	5	0.2725	0.34682	5400	7.3973
NEAREST	7	1800	12	0	3	0	3	0.0035301	0.26103	5400	7.3973
TOLLIES	7	1800	4	0	3	0	3	0.28607	0.39234	5400	7.3973
SANTERA	7	1800	10	0	3	0	3	0.025131	0.264	5400	7.3973
WESTERS	7	1800	3	0	3	0	3	0.1434	0.3237	5400	7.3973
STARNIE	7	1800	8	0	3	0	3	0.02802	0.33948	5400	7.3973
STONIER	7	1800	13	2	5	2	5	0.25969	0.34856	5400	7.3973
RELATES	7	1800	13	4	7	2	5	0.23959	0.26888	5400	7.3973
GAINERS	7	1800	6	1	4	1	4	0.55804	0.49822	5400	7.3973
SPILLER	7	1800	4	0	3	0	3	0.22918	0.24401	5400	7.3973
RETASTE	7	1800	12	2	5	2	5	0.22101	0.19631	5400	7.3973
STALING	7	1800	4	0	3	0	3	0.40105	0.32674	5400	7.3973
RATTENS	7	1800	6	0	3	0	3	0.11821	0.216	5400	7.3973
TANNIES	7	1800	4	0	3	0	3	0.24836	0.2658	5400	7.3973
RESITED	7	1800	8	1	4	0	3	0.28838	0.42261	5400	7.3973
DEES	4	400	54	9	22	4	17	0.16466	0.28009	5200	7.1233
ARTS	4	400	136	31	44	16	29	0.20491	0.22845	5200	7.1233
ANTI	4	400	66	8	20	3	15	0.091984	0.28529	4800	6.5753
TOSED	5	800	25	1	7	0	6	0.047584	0.39174	4800	6.5753
SEARS	5	800	33	16	22	2	8	0.54136	0.55638	4800	6.5753
ANTED	5	800	23	2	8	1	7	0.13043	0.40779	4800	6.5753
AILED	5	800	22	2	8	1	7	0.10518	0.35862	4800	6.5753
TOSE	4	400	90	26	38	9	21	0.23767	0.49882	4800	6.5753
RAIT	4	400	96	33	45	14	26	0.33849	0.48634	4800	6.5753
BATED	5	800	10	0	6	0	6	0.14739	0.48439	4800	6.5753
RAINS	5	800	36	16	22	5	11	0.61119	0.61859	4800	6.5753
GARRE	5	800	9	0	6	0	6	0.39819	0.36382	4800	6.5753
ANTA	4	400	46	4	16	2	14	0.095237	0.21855	4800	6.5753
ERRED	5	800	19	2	8	1	7	0.029116	0.15812	4800	6.5753
RIPES	5	800	19	5	11	0	6	0.52173	0.50513	4800	6.5753
AIRED	5	800	47	16	22	7	13	0.20459	0.4247	4800	6.5753
SADES	5	800	16	2	8	1	7	0.13344	0.17916	4800	6.5753
FATES	5	800	17	5	11	1	7	0.52269	0.65072	4800	6.5753
LENDS	5	800	15	4	10	2	8	0.60075	0.3836	4800	6.5753
TASES	5	800	38	16	22	9	15	0.49444	0.47041	4800	6.5753
ARTI	4	400	104	3	15	2	14	0.023598	0.11966	4800	6.5753
TIED	4	400	80	14	26	8	20	0.157	0.33668	4800	6.5753
HONED	5	800	13	1	7	0	6	0.21443	0.40684	4800	6.5753
TOISE	5	800	36	0	6	0	6	0.0091852	0.15772	4800	6.5753
ARMET	5	800	15	0	6	0	6	0.0065833	0.15345	4800	6.5753
CASED	5	800	17	2	8	1	7	0.3013	0.33786	4800	6.5753
TOILS	5	800	18	7	13	0	6	0.54542	0.49954	4800	6.5753
EATEN	5	800	39	0	6	0	6	0.032754	0.13639	4800	6.5753
MARTS	5	800	27	9	15	2	8	0.40257	0.36224	4800	6.5753
EATS	4	400	154	53	65	27	39	0.37003	0.49287	4800	6.5753
STONG	5	800	13	0	6	0	6	0.10188	0.14556	4800	6.5753
PERNS	5	800	16	1	7	1	7	0.1381	0.1684	4800	6.5753
DORSA	5	800	16	0	6	0	6	0.015009	0.22429	4800	6.5753
SONAR	5	800	27	2	8	2	8	0.075939	0.16545	4800	6.5753
RORES	5	800	21	6	12	2	8	0.30641	0.41103	4800	6.5753
LATI	4	400	88	4	16	2	14	0.064296	0.18388	4800	6.5753
HARES	5	800	42	11	17	5	11	0.49201	0.45937	4800	6.5753
LIST	4	400	85	37	49	14	26	0.46404	0.49273	4800	6.5753
TERTS	5	800	55	2	8	1	7	0.016328	0.039591	4800	6.5753
LITES	5	800	51	32	38	5	11	0.50606	0.5386	4800	6.5753
