attempt	len	times	games	secondsAllIn	secondsSwipe	cause	stem	affix	liveAffixes	nearestValid	isPrefixOfWord	boards	studyItem
RALL	4	5	2	3.059	1.638	pathError				GALL,MALL,RALE,SALL	False	57C40DCF,B65D9368	False
SOLT	4	3	1	1.150	0.738	pathError				HOLT,SALT,SOLA,SOLE	False	A867533D	False
REA	3	2	2	2.759	2.009	earlyLift				REAL,REAP,AREA,ERA,LEA,PEA,REB,REC	True	B65D9368,E70D1539	False
SANI	4	2	1	1.617	0.583	pathError				MANI,RANI,SAIN,SANS,SARI	False	57C40DCF	False
TOSR	4	2	1	1.442	0.958	pathError				TORR,TORS,TOSA	False	57C40DCF	False
ALLARS	6	2	1	1.300	0.842	trueNonWord					False	57C40DCF	True
COSTAS	6	2	1	1.292	0.983	affixError	COSTA	-S	-R,-E,-RS,-L,-TED,SUB-	COSTAL,COSTALS,COTTAS	False	A834A9DB	True
HOLERS	6	2	1	1.209	0.667	affixError	HOLE	-ERS	-S,-D,-Y,-LESS,T-,D-,W-		False	A867533D	True
DAR	3	2	2	1.142	0.909	earlyLift				DARE,DARI,DART,BAR,DAB,DAE,DAH,DAL	True	BFCE1275,E70D1539	False
NILER	5	2	1	1.100	0.683	affixError	NIL	-ER	-S,-L,-LING,A-	OILER	False	B65D9368	True
NAL	3	2	1	1.050	0.367	pathError				CAL,NAS,NAY,SAL	False	A867533D	False
HAR	3	2	1	0.983	0.542	earlyLift				HARD,HARE,HARP,HART,CHAR,FAR,HAD,HAT	True	BFCE1275	False
LUCER	5	2	1	0.950	0.658	affixError	LUCE	-ER	-S	LUTER	False	B65D9368	True
MITS	4	2	1	0.933	0.567	pathError				DITS,EMITS,FITS,MIPS,MIRS,MIST,MITIS,MOITS	False	E70D1539	False
CUL	3	2	1	0.892	0.408	earlyLift				CULL,CEL,CUE,CULL,CUT	True	B65D9368	False
TEARF	5	2	1	0.883	0.492	trueNonWord					False	34BF73E0	True
LEIN	4	2	1	0.867	0.600	pathError				LIEN,REIN,TEIN	False	B65D9368	False
LIO	3	2	1	0.825	0.475	earlyLift				LION,LIE,LIN,LINO	True	B65D9368	False
TUR	3	2	1	0.825	0.350	pathError				TUI,TUN	False	B65D9368	False
REL	3	2	2	0.800	0.575	earlyLift				RELIE,CEL,EEL,PEL,REAL,REC,REE,REEL	True	B65D9368,BFCE1275	False
RAL	3	2	1	0.725	0.333	earlyLift				RALE,REAL	True	B65D9368	False
LINNE	5	2	1	0.709	0.442	trueNonWord					False	B65D9368	True
CUER	4	2	1	0.700	0.342	affixError	CUE	-ER	-S,-ING,-D,-INGS,MIS-	CUTER	False	B65D9368	True
TURE	4	2	1	0.642	0.408	pathError				TRUE,TULE	False	B65D9368	False
