rank	stem	stemLen	isWord	track	score	value	gainPar	gainAlpha	deadPoints	effort	studyItems	newWords	owned	learning	unknown	familySize	branches	presentShare	presentGames	enumerability	enumerabilityObserved	enumerabilityFindable	enumerabilitySource	cueable	coherence	residual	deadBranches	deadExposure	scoreStandalone	learn	why
1	ERAS	4	True	alpha	10.629	49.743	9.0347	40.209	2.4932	4.68	5	5	15	14	106	74	158	0.16859	483	1.7931	2.0414	2.0414	observed	True	0.51551	2385.9	52	0.26994	10.629	ERASE ERASED ERASES ERASER TERAS	ERAS- is on 17% of your boards; you already own 15 of the 158 words on it (74 of them extend the stem's own path), so the rest cost little; the queue wants ERASE, ERASED, ERASES (49.2 points a game between 5 words); enumerability 2.0 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 2.5 points a game in avoided misswipes at the current weight.
2	TORE	4	True	par	8.2095	33.495	33.309	0	0.93005	4.08	4	4	8	24	87	60	140	0.13403	384	1.7794	2.3906	2.3906	observed	True	0.51648	830.47	56	0.12666	8.2095	STORE STORES STORED STORER	TORE- is on 13% of your boards; you already own 8 of the 140 words on it (60 of them extend the stem's own path), so the rest cost little; the queue wants STORE, STORES, STORED (33.3 points a game between 4 words); enumerability 2.4 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 0.9 points a game in avoided misswipes at the current weight.
3	TANE	4	True	par	6.3854	22.221	21.912	0	1.5453	3.48	3	3	3	11	65	49	88	0.091798	263	1.0205	2.0532	2.0532	observed	True	0.51957	1568.6	58	0.30726	6.3854	STANES STANE STANED	TANE- is on 9% of your boards; you already own 3 of the 88 words on it (49 of them extend the stem's own path), so the rest cost little; the queue wants STANES, STANE, STANED (21.9 points a game between 3 words); enumerability 2.1 is inside the 2-6 band, so it also works as something to scan for on a board; 58 dead affixes worth 1.5 points a game in avoided misswipes at the current weight.
4	ONES	4	True	par	6.1353	43.438	35.427	7.5559	2.2781	7.08	9	9	13	35	284	268	438	0.14346	411	4.433	5.0243	5.0243	observed	True	0.51495	3642.9	52	0.28986	6.1353	IRONES RONES HONES DRONES NONES TRONES CRONES SONES HONEST	ONES- is on 14% of your boards; you already own 13 of the 438 words on it (268 of them extend the stem's own path), so the rest cost little; the queue wants IRONES, RONES, HONES (43.0 points a game between 9 words); enumerability 5.0 is inside the 2-6 band, so it also works as something to scan for on a board; 52 dead affixes worth 2.3 points a game in avoided misswipes at the current weight.
5	ENTE	4	False	par	6.1232	36.005	31.894	3.8172	1.467	5.88	7	7	15	35	188	220	377	0.092496	265	4.9456	5.0981	5.0981	observed	True	0.51126	3529.4	56	0.2895	6.1232	RENTE RENTES SENTE ENTERS ENTERA TENTER ENTER	ENTE- is on 9% of your boards; you already own 15 of the 377 words on it (220 of them extend the stem's own path), so the rest cost little; the queue wants RENTE, RENTES, SENTE (35.7 points a game between 7 words); enumerability 5.1 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 1.5 points a game in avoided misswipes at the current weight.
6	DERA	4	False	par	6.1051	28.572	28.213	0	1.7969	4.68	5	5	13	31	131	84	203	0.10506	301	1.5297	2.5183	2.5183	observed	True	0.50497	2589.8	56	0.31219	6.1051	DERAT DERATS DERAIL DERATE DERATES	DERA- is on 11% of your boards; you already own 13 of the 203 words on it (84 of them extend the stem's own path), so the rest cost little; the queue wants DERAT, DERATS, DERAIL (28.2 points a game between 5 words); enumerability 2.5 is inside the 2-6 band, so it also works as something to scan for on a board; 56 dead affixes worth 1.8 points a game in avoided misswipes at the current weight.
7	INTER	5	True	par	5.8634	20.404	20.307	0	0.48754	3.48	3	3	24	29	229	195	339	0.076789	220	5.0147	4.4591	4.4591	observed	True	0.60429	3262.9	50	0.11589	5.8634	TINTER INTERS TINTERS	INTER- is on 8% of your boards; you already own 24 of the 339 words on it (195 of them extend the stem's own path), so the rest cost little; the queue wants TINTER, INTERS, TINTERS (20.3 points a game between 3 words); enumerability 4.5 is inside the 2-6 band, so it also works as something to scan for on a board.
8	HEAR	4	True	par	5.8203	30.731	30.666	0	0.32747	5.28	6	6	15	22	129	119	212	0.085515	245	4.7165	4.5224	4.5224	observed	True	0.524	2593	42	0.069898	5.8203	HEARTS HEART HEARSE HEARE SHEAR HEARD	HEAR- is on 9% of your boards; you already own 15 of the 212 words on it (119 of them extend the stem's own path), so the rest cost little; the queue wants HEARTS, HEART, HEARSE (30.7 points a game between 6 words); enumerability 4.5 is inside the 2-6 band, so it also works as something to scan for on a board.
9	RACE	4	True	par	5.3425	15.386	15.311	0	0.37698	2.88	2	2	20	17	180	146	265	0.06178	177	3.552	3.8079	4.0997	calibrated	True	0.51945	3219.4	48	0.11138	5.3425	TRACES TRACE	RACE- is on 6% of your boards; you already own 20 of the 265 words on it (146 of them extend the stem's own path), so the rest cost little; the queue wants TRACES, TRACE (15.3 points a game between 2 words); enumerability 4.1 is inside the 2-6 band, so it also works as something to scan for on a board.
10	RETIN	5	False	par	5.2898	24.756	24.519	0	1.1859	4.68	5	5	6	16	80	43	111	0.075044	215	2.8863	2.9256	2.9256	observed	True	0.62869	2770.8	53	0.28843	5.2898	RETINA RETINE RETINAS RETINES RETINAL	RETIN- is on 8% of your boards; you already own 6 of the 111 words on it (43 of them extend the stem's own path), so the rest cost little; the queue wants RETINA, RETINE, RETINAS (24.5 points a game between 5 words); enumerability 2.9 is inside the 2-6 band, so it also works as something to scan for on a board; 53 dead affixes worth 1.2 points a game in avoided misswipes at the current weight.
