word	rank	track	len	pts	hook	hookClass	hookRank	hookOwned	myRate	fieldRate	topQRate	nTopQ	achievable	rateGap	presPerGame	nCur	expectedGain	expectedGainShrunk	belief	status	findability	findabilityScore	freeShare	pathCount	vowelInitial	pAppear_4x4_casual	pAppear_4x4_goodCasual	pAppear_4x4_spam	pAppear_5x5_casual	pAppear_5x5_goodCasual	pAppear_5x5_spam
ERASE	1	alpha	5	800	ERAS	additive	1	15	0.0082305	0.077765	0.27805	205	0.27805	0.26982	0.084817	243	18.308	18.219	0.014343	unknown	findable	0.47309	0.60082	1.1687	True	0.050305	0.080054	0.18282	0.042248	0.077407	0.11897
STORE	2	par	5	800	TORE	additive	2	8	0.42324	0.46676	0.58192	177	0.58192	0.15868	0.084119	241	10.679	10.269	0.57649	learning	findable	0.81666	0.6639	1.5768	False	0.047671	0.071142	0.1329	0.055568	0.091662	0.12902
HATERS	3	par	6	1400	ATER	additive	43	98	0.55056	0.59551	0.77778	54	0.77778	0.22722	0.031065	89	9.8817	8.8555	0.68734	known	findable	0.66229	0.73034	1.2697	False	0.013028	0.021102	0.048635	0.019995	0.037782	0.060882
ERAS	4	alpha	4	400	RSE	cellmate	26	75	0.06891	0.099736	0.182	500	0.182	0.11309	0.2178	624	9.8524	9.8559	0.095573	unknown	findable	0.71776	0.53365	1.5144	True	0.13198	0.19194	0.36131	0.13921	0.21898	0.29644
STEAD	5	par	5	800	TEAD	additive	17	4	0.19286	0.2935	0.4434	106	0.4434	0.25054	0.048866	140	9.7942	9.5354	0.26672	unknown	findable	0.7781	0.69286	1.4143	False	0.030619	0.044679	0.09003	0.038601	0.061953	0.087459
ASTER	6	par	5	800	ASTE	additive	12	119	0.28267	0.22846	0.38628	277	0.38628	0.10361	0.11483	329	9.5181	9.3325	0.39025	learning	findable	0.48287	0	1.4772	True	0.061077	0.10119	0.25259	0.066154	0.12609	0.20343
STERE	7	par	5	800	TERE	additive	13	20	0.19737	0.22089	0.34615	182	0.34615	0.14879	0.079581	228	9.4724	9.3152	0.26491	unknown	findable	0.60417	0.22368	1.6228	False	0.04447	0.071957	0.18169	0.038322	0.071524	0.11635
RETINA	8	par	6	1400	RETIN	additive	10	6	0.15833	0.20729	0.31858	113	0.31858	0.16025	0.041885	120	9.3969	9.2373	0.24474	unknown	findable	0.93669	0.86667	1.4917	False	0.019065	0.030158	0.08384	0.027789	0.053973	0.096604
STARE	9	par	5	800	TARE	additive	391	24	0.57955	0.56709	0.67509	277	0.67509	0.095545	0.12286	352	9.3911	8.9176	0.79996	known	findable	0.91969	0.82386	1.5028	False	0.061312	0.1027	0.27419	0.066159	0.12344	0.19969
STANES	10	par	6	1400	TANE	additive	3	3	0.37838	0.38621	0.63514	74	0.63514	0.25676	0.025829	74	9.2845	8.8044	0.56755	learning	findable	0.71542	0.7973	1.2703	False	0.014209	0.023356	0.06425	0.015223	0.029276	0.049671
ERASED	11	alpha	6	1400	ERAS	additive	1	15	0.013889	0.080972	0.27692	65	0.27692	0.26303	0.025131	72	9.2544	9.1384	0.030564	unknown	findable	0.64877	0.72222	1.2639	True	0.011114	0.01908	0.055255	0.012043	0.025108	0.043742
STARED	12	par	6	1400	TARE	additive	391	24	0.52941	0.53163	0.71277	94	0.71277	0.18335	0.035602	102	9.1389	8.5261	0.77325	known	findable	0.85021	0.91176	1.3431	False	0.013953	0.026126	0.093875	0.019857	0.044231	0.083212
ERASES	13	par	6	1400	ERAS	additive	1	15	0	0.1	0.35556	45	0.35556	0.35556	0.01815	52	9.0347	8.8221	0.014715	unknown	findable	0.6548	0.69231	1.2885	True	0.010406	0.017515	0.044735	0.008532	0.016627	0.026807
STANE	14	par	5	800	TANE	additive	3	3	0.34389	0.37185	0.48913	184	0.48913	0.14524	0.077138	221	8.9627	8.6839	0.47573	learning	findable	0.73491	0.60181	1.4525	False	0.048977	0.071942	0.14899	0.055485	0.09005	0.132
HALERS	15	par	6	1400	HALE	additive	14	5	0.2381	0.3255	0.67442	43	0.67442	0.43632	0.01466	42	8.9549	8.4563	0.34208	unknown	findable	0.60411	0.54762	1.3333	False	0.006311	0.009769	0.01966	0.012064	0.021899	0.032959
REIST	16	alpha	5	800	EIST	additive	20	8	0.046693	0.088511	0.17051	217	0.17051	0.12381	0.089703	257	8.8852	8.8917	0.069193	unknown	findable	0.52285	0.15175	1.428	False	0.052568	0.079795	0.16915	0.060109	0.10444	0.15853
STORES	17	par	6	1400	TORE	additive	2	8	0.43182	0.46364	0.63793	58	0.63793	0.20611	0.030716	88	8.8632	8.1362	0.61526	learning	findable	0.76058	0.875	1.2727	False	0.014267	0.024355	0.063525	0.015451	0.031027	0.051073
RENTE	18	par	5	800	ENTE	additive	5	15	0.41844	0.40881	0.64341	129	0.64341	0.22497	0.049215	141	8.8575	8.4804	0.59393	learning	findable	0.68305	0.69504	1.3121	False	0.035311	0.049713	0.09953	0.035378	0.056538	0.084803
SIREN	19	alpha	5	800	SIRE	additive	11	5	0.046296	0.095092	0.19048	168	0.19048	0.14418	0.075393	216	8.6961	8.6839	0.070722	unknown	findable	0.84409	0.81019	1.3843	False	0.040187	0.059953	0.1246	0.052366	0.088603	0.13151
SNORE	20	par	5	800	NOR	additive	50	11	0.19412	0.23745	0.375	144	0.375	0.18088	0.059337	170	8.5864	8.4135	0.27051	unknown	findable	0.70438	0.51765	1.5059	False	0.034728	0.048569	0.081695	0.046931	0.07291	0.097805
REATES	21	par	6	1400	ATES	additive	19	82	0.24771	0.2092	0.40816	98	0.40816	0.16046	0.038045	109	8.5465	8.2748	0.33623	unknown	findable	0.68763	0.82569	1.2294	False	0.01945	0.035043	0.11477	0.017446	0.03601	0.065741
TINTER	22	par	6	1400	INTER	additive	7	24	0.34921	0.49756	0.62264	53	0.62264	0.27344	0.02199	63	8.4178	7.869	0.48619	learning	findable	0.72036	0.87302	1.2381	False	0.011864	0.017551	0.04121	0.015075	0.026738	0.045158
STORED	23	par	6	1400	TORE	additive	2	8	0.34568	0.43562	0.55769	52	0.55769	0.21201	0.028272	81	8.3917	7.7777	0.48082	learning	findable	0.90086	0.85185	1.4321	False	0.010509	0.017728	0.042465	0.016479	0.032062	0.051772
ERASER	24	alpha	6	1400	ERAS	additive	1	15	0.017544	0.079167	0.30909	55	0.30909	0.29155	0.019895	57	8.1206	7.9781	0.036146	unknown	findable	0.55089	0.73684	1.1228	True	0.011193	0.018951	0.05205	0.00968	0.020569	0.036937
RINSE	25	par	5	800	NSE	additive	59	21	0.3125	0.31436	0.47742	155	0.47742	0.16492	0.061431	176	8.1049	7.8519	0.4265	learning	findable	0.83594	0.75	1.4375	False	0.038104	0.055052	0.10808	0.049848	0.081566	0.11753
